,SYMBOL,logFC,ENSEMBL,ENTREZID
0,HSPD1,-0.040963977,ENSG00000144381,3329
1,C3,0.279422207,ENSG00000125730,718
2,CR1,0.529687287,ENSG00000203710,1378
3,ITGAM,1.955139021,ENSG00000169896,3684
4,ITGB2,2.366378879,ENSG00000160255,3689
5,ARF1,-0.289152982,ENSG00000143761,375
6,RAB1A,-0.28603039399999997,ENSG00000138069,5861
7,RAB1B,-0.006746026,ENSG00000174903,81876
8,SEC22B,-0.7854946309999999,ENSG00000265808,9554
9,SAR1A,-0.289779555,ENSG00000079332,56681
10,SAR1B,-0.993552304,ENSG00000152700,51128
11,VCP,0.08935045,ENSG00000165280,7415
12,APAF1,1.023080395,ENSG00000120868,317
13,CYCS,-0.26626499600000003,ENSG00000172115,54205
14,CASP9,0.817555266,ENSG00000132906,842
15,CASP3,-0.9589428659999999,ENSG00000164305,836
16,CASP8,0.891233479,ENSG00000064012,841
17,BNIP3,-0.239893634,ENSG00000176171,664
18,BCL2L13,0.097682301,ENSG00000099968,23786
19,NFKB2,0.049103398,ENSG00000077150,4791
20,NFKBIA,-0.024031286000000002,ENSG00000100906,4792
21,NFKB1,0.022724821,ENSG00000109320,4790
22,RELA,0.840837933,ENSG00000173039,5970
23,HBS1L,-0.775736183,ENSG00000112339,10767
24,EEF1A1,0.421260233,ENSG00000156508,1915
25,EEF1A2,0.35506049700000003,ENSG00000101210,1917
26,HSF1,-2.043991394,ENSG00000185122,3297
27,HSPA2,-0.203957179,ENSG00000126803,3306
28,HSPA1L,-1.332641976,ENSG00000204390,3305
29,HSPA1L,-1.332641976,ENSG00000236251,3305
30,HSPA1L,-1.332641976,ENSG00000206383,3305
31,HSPA1L,-1.332641976,ENSG00000226704,3305
32,HSPA1L,-1.332641976,ENSG00000234258,3305
33,HSPA6,-0.49633807,ENSG00000173110,3310
34,NAIP,0.248818681,ENSG00000249437,4671
35,NAIP,0.248818681,ENSG00000276068,4671
36,NAIP,0.248818681,ENSG00000278613,4671
37,CASP7,0.834461221,ENSG00000165806,840
38,NLRC4,-0.057826021,ENSG00000091106,58484
39,PYCARD,2.418637931,ENSG00000103490,29108
40,CASP1,0.144281288,ENSG00000137752,834
41,IL18,-0.183314322,ENSG00000150782,3606
42,IL1B,-0.20624243899999997,ENSG00000125538,3553
43,TLR5,-0.239220218,ENSG00000187554,7100
44,TLR2,-1.636306714,ENSG00000137462,7097
45,CD14,2.380795617,ENSG00000170458,929
46,TLR4,-0.191859812,ENSG00000136869,7099
47,MYD88,0.958791816,ENSG00000172936,4615
48,TNF,-1.900500326,ENSG00000232810,7124
49,TNF,-1.900500326,ENSG00000228978,7124
50,TNF,-1.900500326,ENSG00000204490,7124
51,TNF,-1.900500326,ENSG00000206439,7124
52,TNF,-1.900500326,ENSG00000228321,7124
53,TNF,-1.900500326,ENSG00000230108,7124
54,TNF,-1.900500326,ENSG00000223952,7124
55,TNF,-1.900500326,ENSG00000228849,7124
56,IL6,-1.077480236,ENSG00000136244,3569
57,IL12A,-2.624426847,ENSG00000168811,3592
58,IL12B,-2.280770745,ENSG00000113302,3593
59,CXCL8,-1.9029724469999998,ENSG00000169429,3576
60,CXCL1,-0.139841963,ENSG00000163739,2919
61,CXCL2,-0.26294064300000003,ENSG00000081041,2920
62,CXCL3,1.391344614,ENSG00000163734,2921
