,SYMBOL,logFC,ENSEMBL,ENTREZID
0,SLC32A1,0.270554893,ENSG00000101438,140679
1,CHRNA6,-0.5685286310000001,ENSG00000147434,8973
2,CACNA1A,-0.476571048,ENSG00000141837,773
3,CACNA1B,-0.8790260459999999,ENSG00000148408,774
4,CHRNA4,-1.215555276,ENSG00000101204,1137
5,CHRNB2,-0.21811328100000002,ENSG00000160716,1141
6,GABRA1,-3.079635347,ENSG00000022355,2554
7,GABRA2,1.0063869,ENSG00000151834,2555
8,GABRA3,-1.819887475,ENSG00000011677,2556
9,GABRA4,2.109123784,ENSG00000109158,2557
10,GABRA5,0.160130669,ENSG00000186297,2558
11,GABRA6,-0.12740366,ENSG00000145863,2559
12,GABRB1,-0.9071339070000001,ENSG00000163288,2560
13,GABRB3,-0.23503008399999997,ENSG00000166206,2562
14,GABRB2,-2.753691644,ENSG00000145864,2561
15,GABRG1,0.240311688,ENSG00000163285,2565
16,GABRG2,-1.087591411,ENSG00000113327,2566
17,GABRG3,0.5422431010000001,ENSG00000182256,2567
18,GABRD,-0.66458517,ENSG00000187730,2563
19,GABRQ,-1.757427737,ENSG00000268089,55879
20,GABRP,0.34653915799999996,ENSG00000094755,2568
21,GABRR1,-0.550627794,ENSG00000146276,2569
22,GABRR2,-0.09333335,ENSG00000111886,2570
23,GABRR3,0.774822138,ENSG00000183185,200959
24,SLC17A6,-3.4144321210000004,ENSG00000091664,57084
25,SLC17A8,-0.79679068,ENSG00000179520,246213
26,SLC17A7,0.6681358629999999,ENSG00000104888,57030
27,GRIN1,-0.9682496359999999,ENSG00000176884,2902
28,GRIN2A,0.073492838,ENSG00000183454,2903
29,GRIN2B,0.126172895,ENSG00000273079,2904
30,GRIN2C,0.030993488,ENSG00000161509,2905
31,GRIN2D,-1.242984803,ENSG00000105464,2906
32,GRIN3A,-0.67274813,ENSG00000198785,116443
33,GRIN3B,-1.43289617,ENSG00000116032,116444
34,GRIA1,-0.48374466299999996,ENSG00000155511,2890
35,GRIA2,-0.73283474,ENSG00000120251,2891
36,GRIA3,-0.897494575,ENSG00000125675,2892
