,SYMBOL,logFC,ENSEMBL,ENTREZID
0,ITGA5,0.708380565,ENSG00000161638,3678
1,ITGB1,0.273254341,ENSG00000150093,3688
2,ITGAM,1.955139021,ENSG00000169896,3684
3,ITGB2,2.366378879,ENSG00000160255,3689
4,CALML3,-0.05212733,ENSG00000178363,810
5,CALM3,-0.8028282520000001,ENSG00000198668,808
6,CALM3,-0.8028282520000001,ENSG00000160014,808
7,CALM1,0.61632507,ENSG00000198668,801
8,CALML6,-0.589760856,ENSG00000169885,163688
9,CALML5,0.8952515190000001,ENSG00000178372,51806
10,CALML4,-0.39351051200000003,ENSG00000129007,91860
11,RHOA,0.34938864,ENSG00000067560,387
12,CFL1,-0.846744563,ENSG00000172757,1072
13,CFL2,-0.38161333,ENSG00000165410,1073
14,CASP3,-0.9589428659999999,ENSG00000164305,836
15,CASP7,0.834461221,ENSG00000165806,840
16,CASP1,0.144281288,ENSG00000137752,834
17,PYCARD,2.418637931,ENSG00000103490,29108
18,NLRP3,-0.216768448,ENSG00000162711,114548
19,IL1B,-0.20624243899999997,ENSG00000125538,3553
20,C1QA,1.334745552,ENSG00000173372,712
21,C1QB,0.069574074,ENSG00000173369,713
22,C1QC,-2.124258568,ENSG00000159189,714
23,C1R,0.5511022170000001,ENSG00000159403,715
24,C1S,0.257358694,ENSG00000182326,716
25,C2,-2.592480147,ENSG00000166278,717
26,C2,-2.592480147,ENSG00000235017,717
27,C2,-2.592480147,ENSG00000204364,717
28,C2,-2.592480147,ENSG00000206372,717
29,C2,-2.592480147,ENSG00000226560,717
30,C2,-2.592480147,ENSG00000235696,717
31,C2,-2.592480147,ENSG00000231543,717
32,C3,0.279422207,ENSG00000125730,718
33,C5,-0.226703552,ENSG00000106804,727
34,SERPING1,-0.150455759,ENSG00000149131,710
35,C4BPA,0.462277746,ENSG00000123838,722
36,C4BPB,0.269885644,ENSG00000123843,725
37,LY96,0.243818863,ENSG00000154589,23643
38,TLR4,-0.191859812,ENSG00000136869,7099
39,CD14,2.380795617,ENSG00000170458,929
40,TIRAP,0.105437189,ENSG00000150455,114609
41,MYD88,0.958791816,ENSG00000172936,4615
42,IRAK4,0.538342796,ENSG00000198001,51135
43,IRAK1,-0.27504793,ENSG00000184216,3654
44,TRAF6,-0.54645803,ENSG00000175104,7189
45,NFKB1,0.022724821,ENSG00000109320,4790
46,RELA,0.840837933,ENSG00000173039,5970
47,TICAM1,0.841711744,ENSG00000127666,148022
48,IRF3,0.096695757,ENSG00000126456,3661
49,MAPK11,-0.763558524,ENSG00000185386,5600
50,MAPK12,-1.2962729370000001,ENSG00000188130,6300
51,MAPK13,-0.152799354,ENSG00000156711,5603
52,MAPK14,0.21893024600000002,ENSG00000112062,1432
53,MAPK8,-0.594849889,ENSG00000107643,5599
54,MAPK10,-0.285768165,ENSG00000109339,5602
55,MAPK9,-0.141241816,ENSG00000050748,5601
56,MAPK1,-0.224220124,ENSG00000100030,5594
57,MAPK3,-0.088770944,ENSG00000102882,5595
58,FOS,2.189404669,ENSG00000170345,2353
59,JUN,0.226463579,ENSG00000177606,3725
60,IL6,-1.077480236,ENSG00000136244,3569
61,IL12A,-2.624426847,ENSG00000168811,3592
62,IL12B,-2.280770745,ENSG00000113302,3593
63,IL23A,-0.119055989,ENSG00000110944,51561
64,TNF,-1.900500326,ENSG00000232810,7124
65,TNF,-1.900500326,ENSG00000228978,7124
66,TNF,-1.900500326,ENSG00000204490,7124
67,TNF,-1.900500326,ENSG00000206439,7124
68,TNF,-1.900500326,ENSG00000228321,7124
69,TNF,-1.900500326,ENSG00000230108,7124
70,TNF,-1.900500326,ENSG00000223952,7124
71,TNF,-1.900500326,ENSG00000228849,7124
72,IL10,-1.4160457069999999,ENSG00000136634,3586
73,IRF1,0.639478093,ENSG00000125347,3659
74,IRF8,-0.515759237,ENSG00000140968,3394
75,GNAI1,-0.607150076,ENSG00000127955,2770
76,GNAI3,-0.26156917399999996,ENSG00000065135,2773
77,GNAI2,0.074105237,ENSG00000114353,2771
78,CXCL8,-1.9029724469999998,ENSG00000169429,3576
79,CXCL5,0.40602592299999996,ENSG00000163735,6374
80,CXCL6,1.194570006,ENSG00000124875,6372
81,NOD1,0.16983446,ENSG00000106100,10392
82,IL1A,1.37186921,ENSG00000115008,3552
