,SYMBOL,logFC,ENSEMBL,ENTREZID
119,NPFFR2,-1.016929426,ENSG00000056291,10886
120,UTS2,-0.263876703,ENSG00000049247,10911
121,UTS2R,-0.046202859000000006,ENSG00000181408,2837
122,NMU,-0.029079517000000003,ENSG00000109255,10874
123,NMUR1,-0.104662669,ENSG00000171596,10316
124,NMUR2,-0.282358343,ENSG00000132911,56923
125,MCHR1,-0.57394195,ENSG00000128285,2847
126,MCHR2,0.114888583,ENSG00000152034,84539
127,FSHB,1.168051039,ENSG00000131808,2488
128,FSHR,0.15961972300000002,ENSG00000170820,2492
129,TSHB,-0.709134095,ENSG00000134200,7252
130,LHCGR,-0.61885552,ENSG00000138039,3973
131,TSHR,0.283117263,ENSG00000165409,7253
132,PTGDR,2.580581247,ENSG00000168229,5729
133,PTGER1,-1.348965063,ENSG00000160951,5731
134,PTGER2,1.126924086,ENSG00000125384,5732
135,PTGER3,-1.018484875,ENSG00000050628,5733
136,PTGER4,0.837612659,ENSG00000171522,5734
137,PTGFR,1.700098446,ENSG00000122420,5737
138,PTGIR,0.864502881,ENSG00000160013,5739
139,TBXA2R,0.486735112,ENSG00000006638,6915
140,ADORA1,-0.20200963800000002,ENSG00000163485,134
141,ADORA2B,-0.08656631699999999,ENSG00000170425,136
142,ADORA3,-1.9589663169999998,ENSG00000282608,140
143,P2RY2,0.6557949439999999,ENSG00000175591,5029
144,P2RY1,-0.795294768,ENSG00000169860,5028
145,P2RY4,0.557390583,ENSG00000186912,5030
146,P2RY6,0.690725673,ENSG00000171631,5031
147,LPAR6,1.358678997,ENSG00000139679,10161
148,P2RY10,0.672950079,ENSG00000078589,27334
149,P2RY14,-0.5500682,ENSG00000174944,9934
150,P2RY8,-1.097214469,ENSG00000182162,286530
151,P2RY13,2.408587977,ENSG00000181631,53829
152,LPAR4,0.164264279,ENSG00000147145,2846
153,GPR35,0.08432458400000001,ENSG00000178623,2859
154,CNR1,0.061538739,ENSG00000118432,1268
155,CNR2,1.08276037,ENSG00000188822,1269
156,PTAFR,-0.602965848,ENSG00000169403,5724
157,GNRHR,0.42636761700000003,ENSG00000109163,2798
158,TRH,-0.591310123,ENSG00000170893,7200
159,TRHR,1.450696235,ENSG00000174417,7201
160,GHSR,-0.774189659,ENSG00000121853,2693
161,KISS1R,-1.4138583409999999,ENSG00000116014,84634
162,MTNR1A,0.10196912400000001,ENSG00000168412,4543
163,MTNR1B,0.181072985,ENSG00000134640,4544
164,GPR50,-0.965522303,ENSG00000102195,9248
165,S1PR1,-0.09437314,ENSG00000170989,1901
166,LPAR1,-0.175751932,ENSG00000198121,1902
167,S1PR3,0.340503709,ENSG00000213694,1903
168,LPAR2,0.7853756709999999,ENSG00000064547,9170
169,S1PR2,0.034526899,ENSG00000267534,9294
170,S1PR4,0.696535692,ENSG00000125910,8698
171,LPAR3,0.15227794,ENSG00000171517,23566
172,S1PR5,-1.1639029920000001,ENSG00000180739,53637
173,LTB4R,-0.09810792300000001,ENSG00000213903,1241
174,LTB4R2,-0.39550054799999995,ENSG00000213906,56413
175,MAS1,-0.32971920899999996,ENSG00000130368,4142
176,RXFP1,0.06923762,ENSG00000171509,59350
177,RXFP2,-1.698269405,ENSG00000133105,122042
178,RXFP3,1.1598999620000001,ENSG00000182631,51289
179,RXFP3,1.1598999620000001,ENSG00000277069,51289
180,CYSLTR1,0.024979671000000002,ENSG00000173198,10800
181,CYSLTR2,0.018182417,ENSG00000152207,57105
182,CALCR,2.408989354,ENSG00000004948,799
183,CALCRL,1.70644712,ENSG00000064989,10203
184,UCN3,-0.52996892,ENSG00000178473,114131
185,UCN2,-0.529181896,ENSG00000145040,90226
186,CRHR1,0.399930944,ENSG00000120088,1394
187,CRHR1,0.399930944,ENSG00000276191,1394
188,CRHR1,0.399930944,ENSG00000278232,1394
189,CRHR2,-0.93572317,ENSG00000106113,1395
190,GIPR,-0.7874542929999999,ENSG00000010310,2696
191,GLP1R,-0.317741608,ENSG00000112164,2740
192,GLP2R,1.161976766,ENSG00000065325,9340
193,GCGR,0.139671672,ENSG00000215644,2642
194,GHRH,-0.058983573,ENSG00000118702,2691
195,GHRHR,1.423562367,ENSG00000106128,2692
196,PTH,-1.132916023,ENSG00000152266,5741
197,PTH1R,0.223431673,ENSG00000160801,5745
198,PTH2R,0.413399071,ENSG00000144407,5746
199,ADCYAP1R1,-0.5569134720000001,ENSG00000078549,117
200,SCT,-1.901973161,ENSG00000070031,6343
201,SCT,-1.901973161,ENSG00000274473,6343
202,SCTR,-1.192732631,ENSG00000080293,6344
203,VIP,0.29157395199999997,ENSG00000146469,7432
204,VIPR1,0.774290261,ENSG00000114812,7433
205,VIPR2,-0.10709550300000001,ENSG00000106018,7434
206,GRM1,-0.730361565,ENSG00000152822,2911
207,GRM2,-1.093927747,ENSG00000164082,2912
208,GRM3,-1.063042731,ENSG00000198822,2913
209,GRM4,0.021156308,ENSG00000124493,2914
210,GRM5,-1.809183634,ENSG00000168959,2915
211,GRM6,-0.321524037,ENSG00000113262,2916
212,GRM7,0.343676546,ENSG00000196277,2917
213,GRM8,0.44361321,ENSG00000179603,2918
214,GABBR1,0.063742937,ENSG00000204681,2550
215,GABBR1,0.063742937,ENSG00000237051,2550
216,GABBR1,0.063742937,ENSG00000206466,2550
217,GABBR1,0.063742937,ENSG00000232632,2550
218,GABBR1,0.063742937,ENSG00000232569,2550
219,GABBR1,0.063742937,ENSG00000237112,2550
220,GABBR1,0.063742937,ENSG00000206511,2550
221,GABBR2,-1.59467431,ENSG00000136928,9568
222,GPR156,-0.6640600879999999,ENSG00000175697,165829
223,MLN,1.2919217090000001,ENSG00000096395,4295
224,MLNR,-2.71427641,ENSG00000102539,2862
225,NPB,0.730667893,ENSG00000183979,256933
226,NPBWR1,-0.48678786799999996,ENSG00000183729,2831
227,NPBWR2,-0.611470834,ENSG00000125522,2832
228,NPBWR2,-0.611470834,ENSG00000277339,2832
229,PRLH,0.037578124,ENSG00000071677,51052
230,PRLHR,0.017695025,ENSG00000119973,2834
231,GRIN1,-0.9682496359999999,ENSG00000176884,2902
232,GRIN2A,0.073492838,ENSG00000183454,2903
233,GRIN2B,0.126172895,ENSG00000273079,2904
234,GRIN2C,0.030993488,ENSG00000161509,2905
235,GRIN2D,-1.242984803,ENSG00000105464,2906
236,GRIN3A,-0.67274813,ENSG00000198785,116443
237,GRIN3B,-1.43289617,ENSG00000116032,116444
238,GABRA1,-3.079635347,ENSG00000022355,2554
239,GABRA2,1.0063869,ENSG00000151834,2555
240,GABRA3,-1.819887475,ENSG00000011677,2556
241,GABRA4,2.109123784,ENSG00000109158,2557
242,GABRA5,0.160130669,ENSG00000186297,2558
243,GABRA6,-0.12740366,ENSG00000145863,2559
244,GABRB1,-0.9071339070000001,ENSG00000163288,2560
245,GABRB3,-0.23503008399999997,ENSG00000166206,2562
246,GABRB2,-2.753691644,ENSG00000145864,2561
247,GABRD,-0.66458517,ENSG00000187730,2563
248,GABRG1,0.240311688,ENSG00000163285,2565
249,GABRG2,-1.087591411,ENSG00000113327,2566
250,GABRG3,0.5422431010000001,ENSG00000182256,2567
251,GABRP,0.34653915799999996,ENSG00000094755,2568
252,GABRR1,-0.550627794,ENSG00000146276,2569
253,GABRR2,-0.09333335,ENSG00000111886,2570
254,GABRR3,0.774822138,ENSG00000183185,200959
255,GABRQ,-1.757427737,ENSG00000268089,55879
256,CHRNA1,-0.216303995,ENSG00000138435,1134
257,CHRNA2,1.2201535140000002,ENSG00000120903,1135
258,CHRNA3,0.63153671,ENSG00000080644,1136
259,CHRNA4,-1.215555276,ENSG00000101204,1137
260,CHRNA5,1.244163174,ENSG00000169684,1138
261,CHRNA6,-0.5685286310000001,ENSG00000147434,8973
262,CHRNA9,-0.729799815,ENSG00000174343,55584
263,CHRNA10,1.6648716669999999,ENSG00000129749,57053
264,CHRNB1,-0.516329924,ENSG00000170175,1140
265,CHRNB1,-0.516329924,ENSG00000283946,1140
266,CHRNB2,-0.21811328100000002,ENSG00000160716,1141
267,CHRNB3,-1.787995491,ENSG00000147432,1142
268,CHRNB4,-1.4009572769999998,ENSG00000117971,1143
