,1,2,3,4,5,6,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
0,CHRM1,CCL1,ITGA5,HSPD1,IL2,SLC32A1,CHRM1,1.95802519151277,3.3884523591339097,2.12249920315736,0.0565637390498233,0.827792093026838,-3.85579793799209
1,CHRM2,CCL25,ITGB1,C3,IL3,CHRNA6,CHRM2,1.5971712124842399,4.046331739845201,1.76890547094095,0.103738104481175,0.877076769546235,-4.32034599628947
2,CHRM3,CCL19,ITGAM,CR1,IL4,CACNA1A,CHRM3,0.25621765958966697,7.23005679841172,0.315827032188517,0.7578646364821509,0.9810985782005841,-5.55293832749431
3,CHRM4,CCL21,ITGB2,ITGAM,IL5,CACNA1B,CHRM4,0.8151965058853109,2.98828131011882,1.56019428851359,0.146142618324449,0.9058462139640521,-4.574944145025929
4,CHRM5,CCL3,CALML3,ITGB2,IL6,CHRNA4,CHRM5,1.137953639243,4.07573943063396,1.04964305170375,0.31571508869665504,0.9342401772649559,-5.10748786319564
5,ADRA1A,CCL3L1,CALM2,ARF1,IL7,CHRNB2,ADRA1A,-0.515735804541917,5.07178447633505,-0.6921124272881,0.502777994312102,0.9577352838097181,-5.37928488886997
6,ADRA1B,CCL3L3,CALM3,RAB1A,IL9,GABRA1,ADRA1B,-1.55257904438155,2.79016318821559,-2.1787372405291,0.0512442258286233,0.827792093026838,-3.7790302444612003
7,ADRA1D,CCL4,CALM1,RAB1B,IL10,GABRA2,ADRA1D,-0.692947759453173,2.63372923533637,-0.985836233035345,0.34475972643635994,0.941171183757666,-5.162873294144791
8,ADRA2A,CCL4L2,CALML6,SEC22B,IL11,GABRA3,ADRA2A,0.142757785463267,7.19538748392953,0.261349894655285,0.798503759329891,0.9863926196030459,-5.567627302784589
9,ADRA2B,CCL4L1,CALML5,SAR1A,IL12A,GABRA4,ADRA2B,-0.342124256969077,4.5060002148186,-0.301147313603843,0.7687466861031659,0.981325060456833,-5.55716472735654
10,ADRA2C,CCL17,CALML4,SAR1B,IL12B,GABRA5,ADRA2C,0.324748217595038,6.174297937450071,0.570698099700793,0.5793259582856329,0.963942315229958,-5.44871227756331
11,ADRB1,CCL22,RHOA,VCP,IL13,GABRA6,ADRB1,1.21103682974642,5.66840942279674,1.6893435079970198,0.118400990659441,0.886475243943484,-4.4194325832499
12,ADRB2,CCL5,CFL1,APAF1,IL15,GABRB1,ADRB2,1.0247388254022098,5.906504102750679,1.4598505623219902,0.171445114353615,0.910711646310028,-4.69068779734195
13,ADRB3,CCL8,CFL2,CYCS,IL17D,GABRB3,ADRB3,0.11438661360500399,3.6283462780039195,0.10850466004293598,0.9154895885295491,0.9926211537521629,-5.594152035689841
14,DRD1,CCL14,CASP3,CASP9,IL19,GABRB2,DRD1,-0.5820417098206669,2.9401039368383395,-0.593296781559494,0.564616233367026,0.963533309258848,-5.436727575120571
15,DRD2,CCL16,CASP7,CASP3,IL20,GABRG1,DRD2,-0.0330428477744356,5.499984101922151,-0.0427360016436764,0.966654436286476,0.9979523429902059,-5.598834712541031
16,DRD3,CCL15,CASP1,CASP8,IL21,GABRG2,DRD3,-1.4853976938988998,1.73871413800429,-1.4657668452071797,0.169855648580385,0.910711646310028,-4.68399622874583
17,DRD4,CCL23,PYCARD,BNIP3,IL22,GABRG3,DRD4,-1.03204859102402,1.68464922507476,-2.24921794380582,0.0452466950896039,0.8223329261061659,-3.6819736714755202
18,DRD5,CCL13,NLRP3,BCL2L13,IL23A,GABRD,DRD5,0.842281491190603,4.88653284049543,0.845585755753716,0.415251706294499,0.94922419816725,-5.27440075007905
19,HRH1,CCL7,IL1B,NFKB2,IL24,GABRE,HRH1,-0.4746667998984361,6.8011921600732395,-0.9037108602678471,0.38492518875039206,0.947009639747,-5.22993078943507
20,HRH2,CCL2,C1QA,NFKBIA,IFNA1,GABRQ,HRH2,2.01863941283156,4.66158069565086,2.94564502526622,0.0129104427933295,0.7216191143617141,-2.6957563499224704
21,HRH3,CCL11,C1QB,NFKB1,IFNA2,GABRP,HRH3,0.253711864956164,5.44595712705024,0.348059064466344,0.734164578090257,0.9792448257824041,-5.54296794639047
22,HRH4,CCL24,C1QC,RELA,IFNA4,GABRR1,HRH4,0.243769734823331,2.4992737086360095,0.17732166964261398,0.8623801492488109,0.987993190658461,-5.584905842123519
23,HTR1A,CCL26,C1R,HBS1L,IFNA5,GABRR2,HTR1A,0.664168196005091,3.61033276396269,0.549087537052771,0.593581543234864,0.96574095672359,-5.4597648190480585
24,HTR1B,CCL27,C1S,EEF1A1,IFNA6,GABRR3,HTR1B,0.7806916848508109,4.7007150550231795,1.1486510728198702,0.27432798012691895,0.930600318766436,-5.01614026058144
25,HTR1D,CCL28,C2,EEF1A2,IFNA7,SLC17A6,HTR1D,1.5563092228969602,2.53010875619078,1.9952234468774297,0.0705841334924706,0.854207743897482,-4.02695742395092
26,HTR1E,CCL18,C4A,HSF1,IFNA8,SLC17A8,HTR1E,-0.493116602234401,5.70694797966255,-0.6800878544177391,0.5100805982457141,0.9577352838097181,-5.38670710014215
27,HTR1F,CCL20,C4B,HSPA8,IFNA10,SLC17A7,HTR1F,0.121772394728784,3.93633242552526,0.110843298288991,0.91367611833435,0.9926211537521629,-5.593910669462099
28,HTR2A,CXCL1,C3,HSPA1A,IFNA13,CHRNA7,HTR2A,-0.131888952231938,8.34320446023869,-0.203658596079272,0.8422252726917979,0.987595915630745,-5.58019618249617
29,HTR2B,CXCL2,C5,HSPA2,IFNA14,GRIN1,HTR2B,-2.1732750150714,2.46723400260608,-1.6336765680286598,0.129730866071625,0.895097798741558,-4.48731212814071
30,HTR2C,CXCL3,SERPING1,HSPA1L,IFNA16,GRIN2A,HTR2C,-1.07329943619937,8.38030860507403,-1.39265219750344,0.19040032419849304,0.9114403363275109,-4.76546253754104
31,HTR4,CXCL5,C4BPA,HSPA1B,IFNA17,GRIN2B,HTR4,0.3888833613188761,6.21122350386343,0.702586703495234,0.496468362765305,0.9570324318945551,-5.372723431099429
32,HTR5A,CXCL6,C4BPB,HSPA6,IFNA21,GRIN2C,HTR5A,-0.733035641432154,3.71202177514207,-0.8874100285229459,0.39327145461418894,0.9473263429225659,-5.242656743747981
33,HTR6,CXCL8,LY96,EEF1G,IFNB1,GRIN2D,HTR6,-0.964904696685521,5.0638589072354,-1.3339029435994199,0.208379687652456,0.919859950574173,-4.82890965092471
34,HTR7,PPBP,TLR4,NAIP,IFNG,GRIN3A,HTR7,0.47504637980005704,6.81876519283967,0.8424837320975649,0.416914283688918,0.94922419816725,-5.27670253114071
35,TAAR9,PF4,CD14,CASP7,IFNE,GRIN3B,TAAR9,-3.1259212367114104,2.8620570128171003,-3.5175859984333395,0.00459989263432025,0.588423221115314,-1.88960446771708
36,TAAR1,CXCL9,MYD88,PYCARD,IFNL1,GRIA2,TAAR1,1.54366905798939,2.50008107331564,1.24168190511461,0.23939706839678002,0.9239064119120759,-4.92464999444051
37,TAAR8,CXCL10,IRAK4,CASP1,IFNL2,GRIA3,TAAR8,0.000501460019238564,3.3241872101789998,0.000566357329248645,0.9995579427759149,0.9998057383886809,-5.59969486101338
38,TAAR5,CXCL11,IRAK1,IL18,IFNL3,GRIA,TAAR5,1.19805210085816,3.34787282043047,1.6492415959492202,0.126470154241829,0.8933772215923791,-4.4684578764002305
39,TAAR2,CXCL13,TRAF6,IL1B,IFNW1,,TAAR2,0.893124511436833,3.36557145772263,0.9098763899484059,0.381800629343428,0.946604134210758,-5.22506625898228
40,AGTR1,CXCL12,NFKB1,TLR5,OSM,,AGTR1,-0.381108997762316,5.49508206689856,-0.30951272338562796,0.7625388991319271,0.9810985782005841,-5.55478044614755
41,AGTR2,CXCL16,RELA,TLR2,LIF,,AGTR2,-0.7662800796717509,4.63158422870711,-0.89033402543478,0.391765212538193,0.9473263429225659,-5.24038849034365
42,NMB,CXCL14,TICAM2,CD14,TSLP,,NMB,0.645884500433903,7.23002069063885,1.0006064749196,0.33786893250651395,0.9395596930955401,-5.15030310981868
43,GRP,CXCL17,TICAM1,TLR4,CTF1,,GRP,-2.36171543593892,3.671646474388,-1.9921675684333,0.07095764114786,0.854476092819419,-4.03101828281095
44,NMBR,XCL1,IRF3,MYD88,CSF2,,NMBR,-2.21857542855462,4.19075686088705,-2.71956528433174,0.0194506509543454,0.7873642172375072,-3.0185442494513195
45,GRPR,XCL2,MAPK11,TNF,CNTF,,GRPR,-0.49170038862792403,5.05358416121351,-0.48683000564281603,0.635642492799081,0.9727464504057701,-5.489349046076349
46,BRS3,CX3CL1,MAPK12,IL6,CSF3,,BRS3,-0.959924566457742,5.20785349706971,-0.9462117770651279,0.36374669733016,0.9443090814488021,-5.19583403186142
47,BDKRB1,IL2,MAPK13,IL12A,EPO,,BDKRB1,-1.40614892957049,4.230163910137,-1.6950967568780801,0.117281682380936,0.886475243943484,-4.4123472654265194
48,BDKRB2,IL4,MAPK14,IL12B,GH1,,BDKRB2,-0.17363975959306502,4.121531806107019,-0.171954095033375,0.8665008318743109,0.987993190658461,-5.58578633555951
49,C5AR1,IL7,MAPK8,CXCL8,GH2,,C5AR1,0.24043926763318402,5.429568381164549,0.261560548432167,0.7983453232335078,0.9863926196030459,-5.56757576328829
50,C3AR1,IL9,MAPK10,CXCL1,CSH1,,C3AR1,-0.459028135408678,6.21045260030794,-0.666220160330072,0.518580366248305,0.9577352838097181,-5.39511971562288
51,FPR1,IL15,MAPK9,CXCL2,CSH2,,FPR1,-0.45440640590983006,6.19606229414603,-0.640693013750255,0.534441873848312,0.959602505851509,-5.41019003738531
52,FPR3,IL21,MAPK1,CXCL3,LEP,,FPR3,-1.2367224473220801,3.6268891010206197,-2.37852606428159,0.0359466519600071,0.809028979027905,-3.50184244776569
53,FPR2,TSLP,MAPK3,CLK,THPO,,FPR2,-0.922131400223307,3.6231382107028995,-1.10774442876896,0.290891518052733,0.9327409955587059,-5.054658058728901
54,APLN,IL3,FOS,,PRL,,APLN,-0.7830654353366869,4.33067805720502,-0.7751874050664971,0.45407429082281203,0.950061682540906,-5.32481554232942
55,APLNR,IL5,JUN,,EGF,,APLNR,-1.01463135491332,7.997359055813839,-1.2180648427185399,0.247910770504176,0.9254912179796791,-4.94837453457386
56,CCK,CSF2,IL6,,PDGFA,,CCK,1.52861608212777,5.20925407311916,1.3579867168797999,0.20084617093413099,0.9152176918647,-4.80312381116445
57,CCKAR,IL13,IL12A,,PDGFB,,CCKAR,-1.18761334359558,4.256707343613471,-1.3363693354230401,0.207597633109176,0.918924117336077,-4.8262834722632
58,CCKBR,EPO,IL12B,,IL2RA,,CCKBR,-0.247535312880623,5.4870118910614005,-0.37978800458424206,0.7111121921948779,0.977761839057742,-5.5322312617921305
59,EDN2,GH1,IL23A,,IL2RB,,EDN2,0.24183735661360398,3.82607792807819,0.235271481511958,0.8181884205008149,0.9875814194313308,-5.57369092488485
60,EDN3,GH2,TNF,,IL2RG,,EDN3,-0.133610857038502,5.127162515497361,-0.150334697165076,0.8831385673055799,0.989256300631274,-5.58906019320145
61,EDNRA,CSH1,IL10,,IL3RA,,EDNRA,-0.136279735521291,6.744707561063531,-0.22444786704782102,0.8263976685294008,0.987595915630745,-5.57602265218414
62,EDNRB,CSH2,IRF1,,IL4R,,EDNRB,-0.39096499751024605,7.725397071282929,-0.606595178853218,0.5560564690341121,0.9621767906603409,-5.42947249584061
63,MC1R,PRL,IRF8,,IL5RA,,MC1R,0.592557894594025,5.383411598898469,0.9841278521389849,0.34556327345415694,0.941171183757666,-5.16431733568915
64,MC2R,THPO,SFTPA1,,IL6R,,MC2R,-0.471373808207828,5.67314637572363,-0.5438267653373221,0.5970793315313969,0.966984114413652,-5.46239466898741
65,MC3R,CSF3,SFTPA2,,IL7R,,MC3R,0.000713128650561501,3.89187187637109,0.0007190758172458201,0.999438741882649,0.9998057383886809,-5.59969476853448
66,MC4R,LEP,GNAI1,,IL9R,,MC4R,-0.15249313880624102,4.57488924361337,-0.0972103910103053,0.9242544506402729,0.9930475838039631,-5.59524540161186
67,MC5R,IL6,GNAI3,,IL10RA,,MC5R,-0.0850660348132166,4.34296002136286,-0.0819172887111367,0.936139045195619,0.994558381050946,-5.59653486609071
68,NPY1R,IL11,GNAI2,,IL10RB,,NPY1R,-1.24715798619907,4.98763448868451,-1.13106819727834,0.281355870849596,0.931292614639984,-5.03282781438362
69,NPY2R,IL12A,CXCL8,,IL11RA,,NPY2R,-0.27430682501291304,4.959451134620959,-0.25797350694036,0.8010444775965551,0.9870461227281558,-5.56844779416435
70,NPY5R,IL27,NOD1,,IL13RA1,,NPY5R,-0.33973364674111406,3.75296223745529,-0.30308562421339696,0.767306788506677,0.9810985782005841,-5.55661798425405
71,GPR83,IL31,IL1A,,IL13RA2,,GPR83,1.2268246847106001,4.61133089926342,1.41159516938419,0.18488660760347303,0.910711646310028,-4.74461632678013
72,PYY,CLCF1,NOS,,IL15RA,,PYY,-2.5308510707529903,3.50828593636179,-2.50381538108799,0.0287139352323868,0.7923263670098941,-3.32532893993792
73,PPY,CNTF,,,IL20RA,,PPY,-0.43599550463599895,4.21296023894464,-0.5186513505765229,0.613963958625996,0.9703806201368042,-5.474648769820431
74,NTS,CTF1,,,IL20RB,,NTS,3.5597660657107206,4.39869615340003,3.6202420163659,0.00383002366613691,0.579094113917782,-1.7482165285345501
75,NTSR1,LIF,,,IL21R,,NTSR1,0.42899074351156896,4.408946268661031,0.54916769367989,0.593528331139674,0.96574095672359,-5.45972456455189
76,NTSR2,OSM,,,IL22RA1,,NTSR2,0.0127822697700988,1.92094915638702,0.0272495295395502,0.9787338670770172,0.9979523429902059,-5.59934522528211
77,OPRD1,IL10,,,IL22RA2,,OPRD1,-1.3408855643426,3.7512332641294197,-1.3602570362890902,0.200147781718594,0.914766957043705,-4.8006768567534195
78,OPRK1,IL19,,,IL23R,,OPRK1,-0.9281868031777559,7.3369140234155,-1.20535492651847,0.25259127484399696,0.927214107039126,-4.96100383780363
79,OPRM1,IL20,,,IL27RA,,OPRM1,-0.9367672523061921,4.76025408556324,-1.05527341261178,0.313242207026687,0.9340060795198509,-5.102466841110809
80,OPRL1,IL24,,,IL6ST,,OPRL1,0.7825891489183701,4.00588033655482,0.8358928684532142,0.420461545492295,0.94922419816725,-5.2815687907530995
81,CORT,IL22,,,IFNAR1,,CORT,-0.800267573690205,5.55657430937901,-1.1483851769941498,0.274433236054878,0.930600318766436,-5.016394079297849
82,SSTR1,IL26,,,IFNAR2,,SSTR1,-1.25803944149579,6.017169784849,-1.93563860809728,0.0782065301605589,0.8629412245712459,-4.10568527674585
83,SSTR2,IFNL2,,,IFNGR1,,SSTR2,0.95479673688832,5.89635315459253,1.96857035350334,0.0739042999959379,0.855630667622727,-4.06229273862225
