,1,2,3,4,5,6,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
0,CHRM1,CCL1,ITGA5,HSPD1,IL2,SLC32A1,ITGA5,0.7083805654072142,5.1071221799998705,0.820794405329092,0.42866334643251003,0.949946067385766,-5.292591262478839
1,CHRM2,CCL25,ITGB1,C3,IL3,CHRNA6,ITGB1,0.273254340978689,11.696892720596,0.721781676574173,0.48503083203129205,0.9559520436927171,-5.36046796000345
2,CHRM3,CCL19,ITGAM,CR1,IL4,CACNA1A,ITGAM,1.9551390207376,5.7566067892450095,2.4793546383616696,0.0300046600405221,0.7957671740430621,-3.35991379404148
3,CHRM4,CCL21,ITGB2,ITGAM,IL5,CACNA1B,ITGB2,2.3663788785122404,5.4449029645073095,2.71294229543682,0.0196852759170743,0.7873642172375072,-3.0279934682258998
4,CHRM5,CCL3,CALML3,ITGB2,IL6,CHRNA4,CALML3,-0.0521273302710039,5.996862481540179,-0.139987336068337,0.8911229514708979,0.989444241264051,-5.590472394173959
5,ADRA1B,CCL3L3,CALM3,RAB1A,IL9,GABRA1,CALM3,-0.8028282518061439,9.04581005607196,-1.01027062977506,0.333415012856265,0.936334060358655,-5.1419960739636394
6,ADRA1D,CCL4,CALM1,RAB1B,IL10,GABRA2,CALM1,0.616325069779704,5.620441182953059,0.8089895014469759,0.43514922362981,0.950061682540906,-5.3010871688999694
7,ADRA2A,CCL4L2,CALML6,SEC22B,IL11,GABRA3,CALML6,-0.5897608560011789,3.1743767202018898,-0.6076969467397161,0.555350533857259,0.9621767906603409,-5.4288647119023095
8,ADRA2B,CCL4L1,CALML5,SAR1A,IL12A,GABRA4,CALML5,0.8952515193415579,4.0025946938082,1.05406699022494,0.313770850860022,0.9340552158713299,-5.10354450001786
9,ADRA2C,CCL17,CALML4,SAR1B,IL12B,GABRA5,CALML4,-0.39351051195102604,5.44126685758991,-0.747707096101619,0.469842989087197,0.9546374984124659,-5.34344445119529
10,ADRB1,CCL22,RHOA,VCP,IL13,GABRA6,RHOA,0.349388640241923,9.751928881667169,0.8840764228348841,0.39499355675289793,0.947492488347356,-5.245234989636639
11,ADRB2,CCL5,CFL1,APAF1,IL15,GABRB1,CFL1,-0.84674456282452,12.547252923960302,-2.3248075992992003,0.0395620579478715,0.8182998428197521,-3.5769655127700095
12,ADRB3,CCL8,CFL2,CYCS,IL17D,GABRB3,CFL2,-0.38161332991492203,10.1050226148162,-0.7491165380611059,0.4690259295944121,0.9546374984124659,-5.34250356221061
13,DRD1,CCL14,CASP3,CASP9,IL19,GABRB2,CASP3,-0.9589428661477422,6.282634151321809,-1.9575788303621298,0.0753152541755081,0.8598811192624221,-4.07680910700078
14,DRD2,CCL16,CASP7,CASP3,IL20,GABRG1,CASP7,0.8344612214146121,6.40476781421128,1.5350601113473001,0.152157037416851,0.9058462139640521,-4.604374805001741
15,DRD3,CCL15,CASP1,CASP8,IL21,GABRG2,CASP1,0.14428128818754998,6.07575750869629,0.22225411448269503,0.8280642041016429,0.987595915630745,-5.57648200549883
16,DRD4,CCL23,PYCARD,BNIP3,IL22,GABRG3,PYCARD,2.41863793148383,4.46169519856527,3.14508013457008,0.008994758842063341,0.715164567801685,-2.41197936391602
17,DRD5,CCL13,NLRP3,BCL2L13,IL23A,GABRD,NLRP3,-0.21676844836321696,4.2514135612187305,-0.20177581517071602,0.8436624013841,0.987595915630745,-5.58055431341107
18,HRH1,CCL7,IL1B,NFKB2,IL24,GABRE,IL1B,-0.20624243930673,6.1324366673945905,-0.222967887942579,0.827521872322175,0.987595915630745,-5.576333037612191
19,HRH2,CCL2,C1QA,NFKBIA,IFNA1,GABRQ,C1QA,1.33474555243873,5.0440967929702305,0.9980193714035172,0.339068591043912,0.9395596930955401,-5.15251588163384
20,HRH3,CCL11,C1QB,NFKB1,IFNA2,GABRP,C1QB,0.0695740741504043,6.660039298862049,0.0884499451111335,0.931060222548481,0.9935782786090821,-5.5960109493954695
21,HRH4,CCL24,C1QC,RELA,IFNA4,GABRR1,C1QC,-2.12425856758391,5.759864138702401,-1.85599659828468,0.0895828362694949,0.8633695197115241,-4.20932320800407
22,HTR1A,CCL26,C1R,HBS1L,IFNA5,GABRR2,C1R,0.551102216876448,6.60692005555671,1.03646550260105,0.321559595798575,0.9342401772649559,-5.11915538330091
23,HTR1B,CCL27,C1S,EEF1A1,IFNA6,GABRR3,C1S,0.25735869399258604,8.86888422052249,0.48012129765499195,0.6402594729475021,0.9727464504057701,-5.49233508342531
24,HTR1D,CCL28,C2,EEF1A2,IFNA7,SLC17A6,C2,-2.59248014695066,5.258125537080071,-2.8086835430161,0.0165504908634762,0.7709936884495359,-2.89131282383052
25,HTR2A,CXCL1,C3,HSPA1A,IFNA13,CHRNA7,C3,0.27942220655322497,8.02869130830916,0.271039712844032,0.791225767700675,0.985137853335395,-5.56521417741083
26,HTR2B,CXCL2,C5,HSPA2,IFNA14,GRIN1,C5,-0.22670355243605103,4.971229154566849,-0.348519908824443,0.7338277310484591,0.9792448257824041,-5.542818533494719
27,HTR2C,CXCL3,SERPING1,HSPA1L,IFNA16,GRIN2A,SERPING1,-0.15045575875528602,7.37142063009188,-0.19181196689047103,0.851277549669414,0.987993190658461,-5.582394625396219
28,HTR4,CXCL5,C4BPA,HSPA1B,IFNA17,GRIN2B,C4BPA,0.462277745921385,3.73133522858574,0.437993803594324,0.669608484203823,0.9753461004207991,-5.510178493088059
29,HTR5A,CXCL6,C4BPB,HSPA6,IFNA21,GRIN2C,C4BPB,0.269885643960643,3.0761755312488197,0.504299545223585,0.623695505006049,0.9711487619732689,-5.48138824177768
30,HTR6,CXCL8,LY96,EEF1G,IFNB1,GRIN2D,LY96,0.24381886318792,5.89692260376493,0.6487093091430811,0.52943103283362,0.9586878786810391,-5.40551571321038
31,HTR7,PPBP,TLR4,NAIP,IFNG,GRIN3A,TLR4,-0.191859812400967,5.71219511657873,-0.366165774781603,0.720974174544331,0.9788292088470779,-5.53695251080781
32,TAAR9,PF4,CD14,CASP7,IFNE,GRIN3B,CD14,2.3807956174735,5.7787629596680405,2.80803490393574,0.0165699634985206,0.7709936884495359,-2.89223920875498
33,TAAR6,PF4V1,TIRAP,NLRC4,IFNK,GRIA1,TIRAP,0.105437188844986,5.972047980737099,0.178646765724813,0.86136352394445,0.987993190658461,-5.58468433501888
34,TAAR1,CXCL9,MYD88,PYCARD,IFNL1,GRIA2,MYD88,0.9587918161835369,7.24751306584103,1.5159009382593998,0.15688431363775798,0.9095888632971999,-4.62661555158874
35,TAAR8,CXCL10,IRAK4,CASP1,IFNL2,GRIA3,IRAK4,0.538342795985432,4.48796744465489,0.8644659776634771,0.405228782615726,0.9483421017481759,-5.2602338465966705
36,TAAR5,CXCL11,IRAK1,IL18,IFNL3,GRIA,IRAK1,-0.27504792982647,7.79317092605121,-0.563552221251319,0.584019557761696,0.9650969812711581,-5.4524112828788205
37,TAAR2,CXCL13,TRAF6,IL1B,IFNW1,,TRAF6,-0.5464580301215449,6.6759053371793495,-1.29367632624022,0.22148010418709901,0.9233301231501091,-4.87126626819793
38,AGTR1,CXCL12,NFKB1,TLR5,OSM,,NFKB1,0.0227248208606943,6.227976563470159,0.0479972062455742,0.9625525237292389,0.9979523429902059,-5.59860987779891
39,AGTR2,CXCL16,RELA,TLR2,LIF,,RELA,0.840837932713353,7.1960972345722904,1.6705652860023998,0.12212075959704699,0.890475667827011,-4.44246873865689
40,GRP,CXCL17,TICAM1,TLR4,CTF1,,TICAM1,0.8417117438128179,5.66438942742171,0.998472102136953,0.33885843262124105,0.9395596930955401,-5.15212899422322
41,NMBR,XCL1,IRF3,MYD88,CSF2,,IRF3,0.0966957572180824,5.65304667577734,0.124250159404541,0.9032901035674709,0.989766494074782,-5.592427918916139
42,GRPR,XCL2,MAPK11,TNF,CNTF,,MAPK11,-0.763558524009842,6.95065106366745,-1.16747421974158,0.266956165803091,0.930600318766436,-4.998058926486821
43,BRS3,CX3CL1,MAPK12,IL6,CSF3,,MAPK12,-1.2962729368416899,6.096077267910481,-1.6045842613921397,0.13602440968961999,0.8996192815218951,-4.52228282419996
44,BDKRB1,IL2,MAPK13,IL12A,EPO,,MAPK13,-0.15279935403157802,5.81324489352605,-0.282618773195536,0.7825558911082231,0.9834854352990771,-5.5622170829080595
45,BDKRB2,IL4,MAPK14,IL12B,GH1,,MAPK14,0.21893024646751397,7.8384072359191395,0.48754737155898603,0.6351497432759939,0.9727464504057701,-5.48902740862267
