,1,2,3,4,5,6,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
0,CHRM1,CCL1,ITGA5,HSPD1,IL2,SLC32A1,IL2,-2.63834949391204,1.97492617603963,-2.79411138011935,0.0169934950930912,0.7709936884495359,-2.9121241445354302
1,CHRM2,CCL25,ITGB1,C3,IL3,CHRNA6,IL3,-0.0838265378816657,0.988083509273323,-0.17176747454089702,0.8666441752773291,0.987993190658461,-5.58581646476364
2,CHRM3,CCL19,ITGAM,CR1,IL4,CACNA1A,IL4,-1.51929267211766,3.8392912952591605,-1.28686165301348,0.223764565362886,0.9239064119120759,-4.87835170042712
3,CHRM4,CCL21,ITGB2,ITGAM,IL5,CACNA1B,IL5,-0.566971472806234,2.30420668945127,-0.5247084028596289,0.609879776741437,0.96975310707861,-5.4717506675721905
4,CHRM5,CCL3,CALML3,ITGB2,IL6,CHRNA4,IL6,-1.07748023568951,5.086544451374491,-1.6088385255167201,0.13508766781710402,0.8996192815218951,-4.51719117499175
5,ADRA1A,CCL3L1,CALM2,ARF1,IL7,CHRNB2,IL7,-0.39789831260889097,3.37012196759335,-0.336967771524958,0.742288983029418,0.980491692847448,-5.5465056660303995
6,ADRA1B,CCL3L3,CALM3,RAB1A,IL9,GABRA1,IL9,-1.00667083497645,1.7844704765541202,-1.26231918929223,0.232150733544773,0.9239064119120759,-4.903648848603679
7,ADRA1D,CCL4,CALM1,RAB1B,IL10,GABRA2,IL10,-1.41604570676252,3.4755064555603497,-1.3549865091746203,0.20177218285774898,0.9152176918647,-4.80635318840872
8,ADRA2A,CCL4L2,CALML6,SEC22B,IL11,GABRA3,IL11,0.0863462121848713,4.813408763432309,0.08095096180333701,0.936890574010622,0.994675846757725,-5.59660895861598
9,ADRA2B,CCL4L1,CALML5,SAR1A,IL12A,GABRA4,IL12A,-2.62442684744978,2.44888484950552,-3.1561228873117995,0.008816822704936209,0.714980404002396,-2.39632692816557
10,ADRA2C,CCL17,CALML4,SAR1B,IL12B,GABRA5,IL12B,-2.28077074526907,3.1196509326502997,-1.91013874560377,0.0816955303821369,0.8633695197115241,-4.1390742071222
11,ADRB1,CCL22,RHOA,VCP,IL13,GABRA6,IL13,0.8139926754728108,5.25013198982461,0.900665044662508,0.386475283460703,0.947009639747,-5.23232356863073
12,ADRB2,CCL5,CFL1,APAF1,IL15,GABRB1,IL15,-0.8013276465831091,4.6031548272802,-0.5312006342809,0.605517447774222,0.968370911451122,-5.4686090083997305
13,ADRB3,CCL8,CFL2,CYCS,IL17D,GABRB3,IL17D,0.662506679696079,7.12469788527789,0.855410674056852,0.410015321198414,0.9484748411715179,-5.267062199275849
14,DRD1,CCL14,CASP3,CASP9,IL19,GABRB2,IL19,-0.734692666856818,3.94734183588035,-0.800367930744476,0.43992658063402795,0.950061682540906,-5.307223930157769
15,DRD2,CCL16,CASP7,CASP3,IL20,GABRG1,IL20,0.714238822324042,4.003501159273569,0.765519836616774,0.45958275076279603,0.9515970930412991,-5.331437310633981
16,DRD3,CCL15,CASP1,CASP8,IL21,GABRG2,IL21,-1.14684202670708,3.60521070545984,-1.07017612454004,0.30676686410656895,0.9330058048213691,-5.089074106814469
17,DRD4,CCL23,PYCARD,BNIP3,IL22,GABRG3,IL22,0.017717238619150002,3.9101462238685603,0.0233070003573436,0.981810046263188,0.9979523429902059,-5.59943911668656
18,DRD5,CCL13,NLRP3,BCL2L13,IL23A,GABRD,IL23A,-0.119055989293933,4.6831056223327305,-0.104209004434532,0.9188219010215491,0.9926402660938309,-5.59458200318674
19,HRH1,CCL7,IL1B,NFKB2,IL24,GABRE,IL24,-0.8415558432554029,4.79652552704234,-1.1434162756099,0.27640596380522997,0.930600318766436,-5.02112905391608
20,HRH2,CCL2,C1QA,NFKBIA,IFNA1,GABRQ,IFNA1,-0.7594694359523341,2.82445366685917,-0.7013039425980451,0.4972385031400179,0.9573948732861021,-5.37353179551312
21,HRH3,CCL11,C1QB,NFKB1,IFNA2,GABRP,IFNA2,-1.2494574120471298,2.23630877652503,-0.935934104765982,0.36879091416702897,0.9460432284853141,-5.2041997641539695
22,HRH4,CCL24,C1QC,RELA,IFNA4,GABRR1,IFNA4,0.31535271990701896,4.0612627137824795,0.37137122584330395,0.717199272825667,0.978459268662328,-5.535168183096009
23,HTR1A,CCL26,C1R,HBS1L,IFNA5,GABRR2,IFNA5,-0.9668203317556429,3.54394775961732,-0.9188915849484379,0.37726382853826596,0.9460432284853141,-5.217903137183161
24,HTR1D,CCL28,C2,EEF1A2,IFNA7,SLC17A6,IFNA7,-1.49297445735791,4.1819272557995895,-1.3499607382691101,0.20333130241586103,0.9152176918647,-4.81175197221117
25,HTR1E,CCL18,C4A,HSF1,IFNA8,SLC17A8,IFNA8,0.24419313433072798,2.56192031454237,0.22601301405684698,0.8252092106248992,0.987595915630745,-5.575692193520481
26,HTR1F,CCL20,C4B,HSPA8,IFNA10,SLC17A7,IFNA10,-0.546570152456905,5.69602583629745,-1.00146967937077,0.33746934844054605,0.9393083106290809,-5.14956376537359
27,HTR2B,CXCL2,C5,HSPA2,IFNA14,GRIN1,IFNA14,-0.226307656975773,3.6374311273124302,-0.22029038481993501,0.829556744507793,0.987595915630745,-5.57688940447842
28,HTR2C,CXCL3,SERPING1,HSPA1L,IFNA16,GRIN2A,IFNA16,0.41814389071985103,4.09612446268954,0.46934856097359395,0.6477065158911129,0.9727464504057701,-5.4970471905712905
29,HTR4,CXCL5,C4BPA,HSPA1B,IFNA17,GRIN2B,IFNA17,-1.12428207468096,5.02049153326439,-1.46591076067875,0.169817141074966,0.910711646310028,-4.68383324081051
30,HTR5A,CXCL6,C4BPB,HSPA6,IFNA21,GRIN2C,IFNA21,-0.524725923611773,2.46734600587347,-0.581495977272554,0.572272007418364,0.963533309258848,-5.44304009823951
31,HTR6,CXCL8,LY96,EEF1G,IFNB1,GRIN2D,IFNB1,-3.5628273458134103,2.64896651769156,-6.242734081053901,5.5034149461986294e-05,0.13399140041472501,1.25803918891136
32,HTR7,PPBP,TLR4,NAIP,IFNG,GRIN3A,IFNG,0.224097997149892,3.69851777911723,0.242028352188719,0.813075022380636,0.9874979512538969,-5.5721802451414
33,TAAR9,PF4,CD14,CASP7,IFNE,GRIN3B,IFNE,0.0387803426252589,4.1543327457156005,0.034170286114805,0.973334811446956,0.9979523429902059,-5.59914499848529
34,TAAR6,PF4V1,TIRAP,NLRC4,IFNK,GRIA1,IFNK,-1.16176347889994,2.50937604492125,-1.07021755946009,0.30674900169497804,0.9330058048213691,-5.08903666297464
35,TAAR1,CXCL9,MYD88,PYCARD,IFNL1,GRIA2,IFNL1,0.41251222787005,5.05889421420691,0.460872433238334,0.6535943063875022,0.9727464504057701,-5.500682804471579
36,TAAR8,CXCL10,IRAK4,CASP1,IFNL2,GRIA3,IFNL2,0.117254481284412,4.54294037518603,0.143612169854814,0.888324426407364,0.989444241264051,-5.589989086971039
37,TAAR2,CXCL13,TRAF6,IL1B,IFNW1,,IFNW1,1.2804874641616202,2.15285874718599,1.42963624771339,0.179760751673995,0.910711646310028,-4.72459137063269
38,AGTR1,CXCL12,NFKB1,TLR5,OSM,,OSM,-2.2284737828847203,3.61472843064427,-3.07625854866131,0.0101884432167428,0.7216191143617141,-2.50969454330483
39,AGTR2,CXCL16,RELA,TLR2,LIF,,LIF,-0.21300627640257103,3.4054756987384303,-0.31637691406143503,0.7574580509765481,0.9810985782005841,-5.5527761801408495
40,NMB,CXCL14,TICAM2,CD14,TSLP,,TSLP,2.6906109752164102,3.63529035614032,3.0163338983868098,0.011357235398764999,0.7216191143617141,-2.59497621764815
41,GRP,CXCL17,TICAM1,TLR4,CTF1,,CTF1,-0.7198711545849571,3.50425982894422,-0.696507915922842,0.500124327733007,0.9576633890214391,-5.376542278331491
42,NMBR,XCL1,IRF3,MYD88,CSF2,,CSF2,0.7490207141731641,5.212715895045781,1.00935545293154,0.33383493743625103,0.9366879037328141,-5.14278551414463
43,GRPR,XCL2,MAPK11,TNF,CNTF,,CNTF,0.17537410436170298,4.62153993154629,0.207514663534336,0.839283802314271,0.987595915630745,-5.57945240999558
44,BRS3,CX3CL1,MAPK12,IL6,CSF3,,CSF3,0.110495098894873,2.7308283152726798,0.125729283524084,0.9021453713573371,0.989766494074782,-5.59225400551761
45,BDKRB1,IL2,MAPK13,IL12A,EPO,,EPO,2.01126069735751,4.04469517798594,1.80546838712933,0.0975652085497913,0.868392436449489,-4.27404650144698
46,BDKRB2,IL4,MAPK14,IL12B,GH1,,GH1,-1.1137274821288703,3.35946062943224,-0.971663931893491,0.351466792088435,0.941171183757666,-5.17479039692288
