,5,logFC
0,IL2,-2.63834949391204
1,IL3,-0.0838265378816657
2,IL4,-1.51929267211766
3,IL5,-0.566971472806234
4,IL6,-1.07748023568951
5,IL7,-0.39789831260889097
6,IL9,-1.00667083497645
7,IL10,-1.41604570676252
8,IL11,0.0863462121848713
9,IL12A,-2.62442684744978
10,IL12B,-2.28077074526907
11,IL13,0.8139926754728108
12,IL15,-0.8013276465831091
13,IL17D,0.662506679696079
14,IL19,-0.734692666856818
15,IL20,0.714238822324042
16,IL21,-1.14684202670708
17,IL22,0.017717238619150002
18,IL23A,-0.119055989293933
19,IL24,-0.8415558432554029
20,IFNA1,-0.7594694359523341
21,IFNA2,-1.2494574120471298
22,IFNA4,0.31535271990701896
23,IFNA5,-0.9668203317556429
24,IFNA7,-1.49297445735791
25,IFNA8,0.24419313433072798
26,IFNA10,-0.546570152456905
27,IFNA14,-0.226307656975773
28,IFNA16,0.41814389071985103
29,IFNA17,-1.12428207468096
30,IFNA21,-0.524725923611773
31,IFNB1,-3.5628273458134103
32,IFNG,0.224097997149892
33,IFNE,0.0387803426252589
34,IFNK,-1.16176347889994
35,IFNL1,0.41251222787005
36,IFNL2,0.117254481284412
37,IFNW1,1.2804874641616202
38,OSM,-2.2284737828847203
39,LIF,-0.21300627640257103
40,TSLP,2.6906109752164102
41,CTF1,-0.7198711545849571
42,CSF2,0.7490207141731641
43,CNTF,0.17537410436170298
44,CSF3,0.110495098894873
45,EPO,2.01126069735751
46,GH1,-1.1137274821288703
47,GH2,-2.0441582677870302
48,CSH1,0.36803319756615005
49,LEP,2.30131986935159
50,THPO,-0.607317438524537
51,PRL,1.53644275494991
52,EGF,0.12039543065988799
53,PDGFA,0.150648187578207
54,PDGFB,-0.360688074260585
55,IL2RA,0.0234784304796083
56,IL2RB,-0.712411819481394
57,IL2RG,-0.9288193040227471
58,IL3RA,-0.9747906211266351
59,IL4R,-0.822859130650384
60,IL5RA,-1.6377695753953099
61,IL6R,1.6396064583888799
62,IL7R,-0.881839179211008
63,IL9R,-0.0625542557691787
64,IL10RA,0.0719835714837371
65,IL10RB,0.5163787097426961
66,IL11RA,-0.955196880264219
67,IL12RB1,0.25594974202399695
68,IL12RB2,2.20800595539837
69,IL13RA1,-1.03156198054839
70,IL13RA2,0.692556718325596
71,IL15RA,-0.414082310947062
72,IL20RA,-2.12909317590423
73,IL20RB,-1.2200943936868
74,IL21R,-0.0968492123923506
75,IL22RA1,-0.0594290254110286
76,IL22RA2,-0.293808740404722
77,IL23R,0.129882680356893
78,IL27RA,-0.19344322188226998
79,IL6ST,0.0680092740856875
80,IFNAR1,0.129471014909
81,IFNAR2,-0.5173089091320949
82,IFNGR1,0.34251491386084104
83,IFNGR2,0.0970581408427975
84,IFNLR1,0.7987610641771491
85,OSMR,-0.648706193335228
86,LIFR,0.5258092748920801
87,CRLF2,0.46230703532581796
88,CNTFR,0.8080356082370379
89,CSF2RA,-0.39875452035729
90,CSF2RB,1.20300229512524
91,CSF3R,-0.309650082652928
92,EPOR,0.475053490059455
93,GHR,0.330120427039291
94,LEPR,-0.0048367279220640205
95,MPL,0.8625910803543859
96,PRLR,0.12884682883308501
97,EGFR,-2.42921397990232
98,PDGFRA,1.8906690723551798
99,PDGFRB,-0.9562382433622159
100,JAK1,0.294115375481978
101,JAK2,1.33986229332603
102,JAK3,-0.582590262556417
103,TYK2,0.475016582722875
104,STAT1,-0.0907117015795009
105,STAT2,-0.25347576085630397
106,STAT3,0.103870233593325
107,STAT4,-0.9127971079327929
108,STAT5A,-0.0713219570969583
109,STAT5B,0.45402043093785704
110,STAT6,0.394339135052384
111,CISH,0.40282662123978896
112,SOCS1,-1.2520771759645901
113,SOCS2,1.5205836011053702
114,SOCS3,-0.29327981532534003
115,SOCS4,0.17149380206450499
116,SOCS5,-0.33995816810961
117,SOCS7,-0.9207805601571021
118,SOCS6,-0.30147098667989003
119,BCL2,-0.202935939159824
120,MCL1,-0.23799478255665601
121,BCL2L1,-0.39124487233180105
122,PIM1,0.128691133385459
123,MYC,1.61198350823633
124,CCND1,0.331060882343769
125,CCND2,-0.636068549458326
126,CCND3,1.49094445860132
127,CDKN1A,0.27640116132450704
128,AOX1,0.829687897152739
129,GFAP,-0.39644817376877795
130,STAM2,1.04134049432243
131,STAM,-0.35487575574827296
132,PTPN2,-0.26583171431568
133,PTPN6,0.0459615437297449
134,IRF9,0.258215568684311
135,CREBBP,0.0990737883196786
136,EP300,0.371036044181317
137,PIAS1,0.5172940133484699
138,PIAS2,-0.757792397380711
139,PIAS3,0.348151379402308
140,PIAS4,-0.00662414948306544
141,FHL1,0.190600826832309
142,PTPN11,-0.216490183050045
143,GRB2,-0.004036935108578279
144,SOS1,-0.710050524722114
145,SOS2,0.540494496295489
146,HRAS,0.893351815280158
147,RAF1,0.472254401970106
148,PIK3CA,0.173327992110924
149,PIK3CD,-1.42101054281698
150,PIK3CB,-0.379504489062969
151,PIK3R1,0.801872406664234
152,PIK3R2,0.105347767921902
153,PIK3R3,0.0787977432232054
154,AKT1,-0.513009158742483
155,AKT2,1.7468899839664
156,AKT3,0.7702612624244041
