,4,logFC
0,HSPD1,-0.0409639774967232
1,C3,0.27942220655322497
2,CR1,0.5296872865239249
3,ITGAM,1.9551390207376
4,ITGB2,2.3663788785122404
5,ARF1,-0.289152981918116
6,RAB1A,-0.286030393909884
7,RAB1B,-0.006746025911366971
8,SEC22B,-0.7854946305020609
9,SAR1A,-0.28977955484552004
10,SAR1B,-0.993552304397147
11,VCP,0.0893504495659236
12,APAF1,1.02308039521926
13,CYCS,-0.266264995917265
14,CASP9,0.817555266012001
15,CASP3,-0.9589428661477422
16,CASP8,0.891233479139936
17,BNIP3,-0.23989363410781397
18,BCL2L13,0.0976823013636494
19,NFKB2,0.0491033983932425
20,NFKBIA,-0.0240312859808789
21,NFKB1,0.0227248208606943
22,RELA,0.840837932713353
23,HBS1L,-0.775736182673703
24,EEF1A1,0.4212602325213
25,EEF1A2,0.355060496819627
26,HSF1,-2.04399139436685
27,HSPA2,-0.20395717941473998
28,HSPA1L,-1.33264197579899
29,HSPA6,-0.496338070452121
30,NAIP,0.24881868134212198
31,CASP7,0.8344612214146121
32,NLRC4,-0.0578260205641712
33,PYCARD,2.41863793148383
34,CASP1,0.14428128818754998
35,IL18,-0.18331432222879898
36,IL1B,-0.20624243930673
37,TLR5,-0.239220217739927
38,TLR2,-1.6363067141335
39,CD14,2.3807956174735
40,TLR4,-0.191859812400967
41,MYD88,0.9587918161835369
42,TNF,-1.90050032550245
43,IL6,-1.07748023568951
44,IL12A,-2.62442684744978
45,IL12B,-2.28077074526907
46,CXCL8,-1.90297244653725
47,CXCL1,-0.13984196327408602
48,CXCL2,-0.262940642740697
49,CXCL3,1.39134461372726
