,1,2,3,4,5,6,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
0,CHRM1,CCL1,ITGA5,HSPD1,IL2,SLC32A1,HSPD1,-0.0409639774967232,12.104870651654501,-0.0981846285970055,0.92349796864602,0.9928838803533929,-5.5951558102902
1,CHRM2,CCL25,ITGB1,C3,IL3,CHRNA6,C3,0.27942220655322497,8.02869130830916,0.271039712844032,0.791225767700675,0.985137853335395,-5.56521417741083
2,CHRM3,CCL19,ITGAM,CR1,IL4,CACNA1A,CR1,0.5296872865239249,5.0103292608234105,0.641832643038754,0.533727855941702,0.959492582941355,-5.4095287766296
3,CHRM4,CCL21,ITGB2,ITGAM,IL5,CACNA1B,ITGAM,1.9551390207376,5.7566067892450095,2.4793546383616696,0.0300046600405221,0.7957671740430621,-3.35991379404148
4,CHRM5,CCL3,CALML3,ITGB2,IL6,CHRNA4,ITGB2,2.3663788785122404,5.4449029645073095,2.71294229543682,0.0196852759170743,0.7873642172375072,-3.0279934682258998
5,ADRA1A,CCL3L1,CALM2,ARF1,IL7,CHRNB2,ARF1,-0.289152981918116,4.98527650143297,-0.30960521107926303,0.762470362080082,0.9810985782005841,-5.55475372735366
6,ADRA1B,CCL3L3,CALM3,RAB1A,IL9,GABRA1,RAB1A,-0.286030393909884,11.8526817233077,-0.679798743891367,0.510256950867741,0.9577352838097181,-5.3868840972429
7,ADRA1D,CCL4,CALM1,RAB1B,IL10,GABRA2,RAB1B,-0.006746025911366971,8.48215082314584,-0.0125824024956487,0.9901793756897379,0.998694066851553,-5.59962043162382
8,ADRA2A,CCL4L2,CALML6,SEC22B,IL11,GABRA3,SEC22B,-0.7854946305020609,9.62265418782667,-1.7754848459627801,0.102601923267772,0.876217612953043,-4.31204883505267
9,ADRA2B,CCL4L1,CALML5,SAR1A,IL12A,GABRA4,SAR1A,-0.28977955484552004,9.276820178361382,-0.7257227935694841,0.482702674389954,0.9559520436927171,-5.35791484547898
10,ADRA2C,CCL17,CALML4,SAR1B,IL12B,GABRA5,SAR1B,-0.993552304397147,7.821939693140191,-1.2756024351743702,0.22758085048067397,0.9239064119120759,-4.89000018410488
11,ADRB1,CCL22,RHOA,VCP,IL13,GABRA6,VCP,0.0893504495659236,8.70526345082283,0.23026285891973,0.821984495078851,0.987595915630745,-5.574783435247201
12,ADRB2,CCL5,CFL1,APAF1,IL15,GABRB1,APAF1,1.02308039521926,6.0354310510846,2.41711507060915,0.0335487710593688,0.8062485655262428,-3.44765444759187
13,ADRB3,CCL8,CFL2,CYCS,IL17D,GABRB3,CYCS,-0.266264995917265,11.639866892421999,-0.625913200287597,0.543751379325236,0.9610589700885039,-5.41866773644864
14,DRD1,CCL14,CASP3,CASP9,IL19,GABRB2,CASP9,0.817555266012001,7.63476898422746,1.4328856391858402,0.17885038495380498,0.910711646310028,-4.72096711723113
15,DRD2,CCL16,CASP7,CASP3,IL20,GABRG1,CASP3,-0.9589428661477422,6.282634151321809,-1.9575788303621298,0.0753152541755081,0.8598811192624221,-4.07680910700078
16,DRD3,CCL15,CASP1,CASP8,IL21,GABRG2,CASP8,0.891233479139936,4.69256578523039,0.7917011662109681,0.44476332297285703,0.950061682540906,-5.31333462735611
17,DRD4,CCL23,PYCARD,BNIP3,IL22,GABRG3,BNIP3,-0.23989363410781397,11.3759352348474,-0.543407104842984,0.5973588145023511,0.967106710839453,-5.462603429329059
18,DRD5,CCL13,NLRP3,BCL2L13,IL23A,GABRD,BCL2L13,0.0976823013636494,8.18487008704411,0.217917971662378,0.8313608391522809,0.987595915630745,-5.57737681344762
