,2,logFC
0,CCL1,-0.612790185808719
1,CCL25,0.511755349028058
2,CCL19,-0.283455305651824
3,CCL21,-0.9104750075533129
4,CCL4,-0.0246003858803299
5,CCL17,-0.7196933808598509
6,CCL22,-0.889101016131865
7,CCL5,0.337005549544672
8,CCL8,-0.752151719740645
9,CCL16,-1.4899236125097701
10,CCL23,-1.4646695449721
11,CCL13,-2.2203394327876
12,CCL7,-1.76674649401922
13,CCL2,-1.04931632984106
14,CCL11,-0.19856266248211302
15,CCL24,1.4921727981913602
16,CCL26,-1.5378976900364598
17,CCL27,-0.602660474222688
18,CCL28,2.39478243110508
19,CCL18,-1.62652002508375
20,CCL20,-0.619514168551974
21,CXCL1,-0.13984196327408602
22,CXCL2,-0.262940642740697
23,CXCL3,1.39134461372726
24,CXCL5,0.40602592330146997
25,CXCL6,1.19457000570882
26,CXCL8,-1.90297244653725
27,PPBP,0.30035160623471
28,PF4,-0.983516222049261
29,PF4V1,2.16958554803997
30,CXCL9,0.585798558002299
31,CXCL10,0.7886102689165629
32,CXCL11,0.11859165014493199
33,CXCL13,0.000212982591758948
34,CXCL12,0.542261796339092
35,CXCL16,-0.47676090219718603
36,CXCL14,-1.2759879318648601
37,CXCL17,1.1579832480714298
38,XCL1,1.05916843711878
39,CX3CL1,-0.0779585423520466
40,IL2,-2.63834949391204
41,IL4,-1.51929267211766
42,IL7,-0.39789831260889097
43,IL9,-1.00667083497645
44,IL15,-0.8013276465831091
45,IL21,-1.14684202670708
46,TSLP,2.6906109752164102
47,IL3,-0.0838265378816657
48,IL5,-0.566971472806234
49,CSF2,0.7490207141731641
50,IL13,0.8139926754728108
51,EPO,2.01126069735751
52,GH1,-1.1137274821288703
53,GH2,-2.0441582677870302
54,CSH1,0.36803319756615005
55,PRL,1.53644275494991
56,THPO,-0.607317438524537
57,CSF3,0.110495098894873
58,LEP,2.30131986935159
59,IL6,-1.07748023568951
60,IL11,0.0863462121848713
61,IL12A,-2.62442684744978
62,IL12B,-2.28077074526907
63,IL23A,-0.119055989293933
64,IL27,-0.882867515728925
65,CLCF1,-0.557443304775526
66,CNTF,0.17537410436170298
67,CTF1,-0.7198711545849571
68,LIF,-0.21300627640257103
69,OSM,-2.2284737828847203
70,IL10,-1.41604570676252
71,IL19,-0.734692666856818
72,IL20,0.714238822324042
73,IL24,-0.8415558432554029
74,IL22,0.017717238619150002
75,IL26,-2.1858313937349902
76,IFNL2,0.117254481284412
77,IFNL1,0.41251222787005
78,IFNA1,-0.7594694359523341
79,IFNA2,-1.2494574120471298
80,IFNA4,0.31535271990701896
81,IFNA5,-0.9668203317556429
82,IFNA7,-1.49297445735791
83,IFNA8,0.24419313433072798
84,IFNA10,-0.546570152456905
85,IFNA14,-0.226307656975773
86,IFNA16,0.41814389071985103
87,IFNA17,-1.12428207468096
88,IFNA21,-0.524725923611773
89,IFNB1,-3.5628273458134103
90,IFNW1,1.2804874641616202
91,IFNK,-1.16176347889994
