,1,logFC
0,CHRM1,1.95802519151277
1,CHRM2,1.5971712124842399
2,CHRM3,0.25621765958966697
3,CHRM4,0.8151965058853109
4,CHRM5,1.137953639243
5,ADRA1A,-0.515735804541917
6,ADRA1B,-1.55257904438155
7,ADRA1D,-0.692947759453173
8,ADRA2A,0.142757785463267
9,ADRA2B,-0.342124256969077
10,ADRA2C,0.324748217595038
11,ADRB1,1.21103682974642
12,ADRB2,1.0247388254022098
13,ADRB3,0.11438661360500399
14,DRD1,-0.5820417098206669
15,DRD2,-0.0330428477744356
16,DRD3,-1.4853976938988998
17,DRD4,-1.03204859102402
18,DRD5,0.842281491190603
19,HRH1,-0.4746667998984361
20,HRH2,2.01863941283156
21,HRH3,0.253711864956164
22,HRH4,0.243769734823331
23,HTR1A,0.664168196005091
24,HTR1B,0.7806916848508109
25,HTR1D,1.5563092228969602
26,HTR1E,-0.493116602234401
27,HTR1F,0.121772394728784
28,HTR2A,-0.131888952231938
29,HTR2B,-2.1732750150714
30,HTR2C,-1.07329943619937
31,HTR4,0.3888833613188761
32,HTR5A,-0.733035641432154
33,HTR6,-0.964904696685521
34,HTR7,0.47504637980005704
35,TAAR9,-3.1259212367114104
36,TAAR1,1.54366905798939
37,TAAR8,0.000501460019238564
38,TAAR5,1.19805210085816
39,TAAR2,0.893124511436833
40,AGTR1,-0.381108997762316
41,AGTR2,-0.7662800796717509
42,NMB,0.645884500433903
43,GRP,-2.36171543593892
44,NMBR,-2.21857542855462
45,GRPR,-0.49170038862792403
46,BRS3,-0.959924566457742
47,BDKRB1,-1.40614892957049
48,BDKRB2,-0.17363975959306502
49,C5AR1,0.24043926763318402
50,C3AR1,-0.459028135408678
51,FPR1,-0.45440640590983006
52,FPR3,-1.2367224473220801
53,FPR2,-0.922131400223307
54,APLN,-0.7830654353366869
55,APLNR,-1.01463135491332
56,CCK,1.52861608212777
57,CCKAR,-1.18761334359558
58,CCKBR,-0.247535312880623
59,EDN2,0.24183735661360398
60,EDN3,-0.133610857038502
61,EDNRA,-0.136279735521291
62,EDNRB,-0.39096499751024605
63,MC1R,0.592557894594025
64,MC2R,-0.471373808207828
65,MC3R,0.000713128650561501
66,MC4R,-0.15249313880624102
67,MC5R,-0.0850660348132166
68,NPY1R,-1.24715798619907
69,NPY2R,-0.27430682501291304
70,NPY5R,-0.33973364674111406
71,GPR83,1.2268246847106001
72,PYY,-2.5308510707529903
73,PPY,-0.43599550463599895
74,NTS,3.5597660657107206
75,NTSR1,0.42899074351156896
76,NTSR2,0.0127822697700988
77,OPRD1,-1.3408855643426
78,OPRK1,-0.9281868031777559
79,OPRM1,-0.9367672523061921
80,OPRL1,0.7825891489183701
81,CORT,-0.800267573690205
82,SSTR1,-1.25803944149579
83,SSTR2,0.95479673688832
84,SSTR3,-1.0293440722151301
85,SSTR4,-0.639765385757735
86,SSTR5,0.9684789890789359
87,TAC1,-1.98173528387133
88,TAC3,1.30252893288886
89,TACR1,0.966720598444843
90,TACR2,-0.625650330522446
91,TACR3,1.76424936558104
92,AVPR1A,-0.994238005387102
93,AVPR1B,0.4765541446090929
94,AVPR2,-2.5201593954008503
95,OXTR,-0.5644217670922479
96,GAL,-0.6692225263203521
97,GALR1,-0.7768368916144399
98,GALR2,-0.19794447704708104
99,GALR3,-0.4914371360504439
100,F2,-0.37128209046539395
101,CTSG,0.200360283015312
102,GZMA,-1.09160975242543
103,PLG,-1.9960012370769
104,PRSS3,-0.40105942920357796
105,PRSS2,-0.509278127382403
106,F2R,1.20845946881546
107,F2RL1,1.8021402592867601
108,F2RL2,2.23284844929923
109,F2RL3,0.30360945581345694
110,PARD3,0.18649836320083
111,HCRT,0.130329605762839
112,HCRTR1,1.60633185413916
113,HCRTR2,0.965692662525836
114,NPFF,1.15371782611088
115,NPFFR1,2.08824155952771
116,NPFFR2,-1.01692942585988
117,UTS2,-0.26387670302795896
118,UTS2R,-0.0462028592901493
119,NMU,-0.0290795173590332
120,NMUR1,-0.10466266928754499
121,NMUR2,-0.282358343476983
122,MCHR1,-0.573941949903401
123,MCHR2,0.114888583207968
124,FSHB,1.1680510390676497
125,FSHR,0.15961972292595
126,TSHB,-0.709134095116972
127,LHCGR,-0.6188555199885121
128,TSHR,0.283117262617612
129,PTGDR,2.5805812471544103
130,PTGER1,-1.3489650631066201
131,PTGER2,1.1269240856602099
132,PTGER3,-1.01848487519807
133,PTGER4,0.8376126592659642
134,PTGFR,1.7000984463097
135,PTGIR,0.864502881453656
136,TBXA2R,0.48673511171742206
137,ADORA1,-0.202009637840079
138,ADORA2B,-0.0865663170655289
139,ADORA3,-1.95896631670628
140,P2RY2,0.6557949438380489
141,P2RY1,-0.795294768202172
142,P2RY4,0.557390583133949
143,P2RY6,0.6907256725779749
144,LPAR6,1.3586789973088798
145,P2RY10,0.67295007929518
146,P2RY14,-0.550068199984802
147,P2RY8,-1.09721446933598
148,P2RY13,2.4085879769626404
149,LPAR4,0.164264278672909
150,GPR35,0.0843245838111626
151,CNR1,0.0615387386128479
152,CNR2,1.0827603704495201
153,PTAFR,-0.602965848267846
154,GNRHR,0.42636761720231897
155,TRH,-0.5913101230428729
156,TRHR,1.4506962347369599
157,GHSR,-0.7741896594519121
158,KISS1R,-1.41385834128375
159,MTNR1A,0.101969124461137
160,MTNR1B,0.181072985261918
161,GPR50,-0.9655223033625541
162,S1PR1,-0.0943731404614745
163,LPAR1,-0.17575193222772098
164,S1PR3,0.34050370881833397
165,LPAR2,0.785375671124748
166,S1PR2,0.0345268985052476
167,S1PR4,0.6965356923779421
168,LPAR3,0.15227793972323903
169,S1PR5,-1.16390299180716
170,LTB4R,-0.0981079232681106
171,LTB4R2,-0.395500548382053
172,MAS1,-0.32971920872016897
173,RXFP1,0.0692376201379186
174,RXFP2,-1.69826940527727
175,RXFP3,1.15989996245786
176,CYSLTR1,0.0249796710333809
177,CYSLTR2,0.0181824173055265
178,CALCR,2.40898935392822
179,CALCRL,1.70644711963415
180,UCN3,-0.529968920142446
181,UCN2,-0.5291818962792609
182,CRHR1,0.399930944422863
183,CRHR2,-0.935723169908362
184,GIPR,-0.7874542932589319
185,GLP1R,-0.31774160800346196
186,GLP2R,1.16197676594301
187,GCGR,0.139671671587499
188,GHRH,-0.0589835732814494
189,GHRHR,1.42356236696688
190,PTH,-1.1329160233683402
191,PTH1R,0.22343167302984301
192,PTH2R,0.413399071047595
193,ADCYAP1R1,-0.556913472025128
194,SCT,-1.9019731610886597
195,SCTR,-1.1927326311539599
196,VIP,0.291573951662943
197,VIPR1,0.7742902609190521
198,VIPR2,-0.10709550290910302
199,GRM1,-0.730361564920619
200,GRM2,-1.09392774666674
201,GRM3,-1.06304273080741
202,GRM4,0.0211563083729871
203,GRM5,-1.80918363406613
