,1,2,3,4,5,6,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
0,CHRM1,CCL1,ITGA5,HSPD1,IL2,SLC32A1,CCL1,-0.612790185808719,2.9490162209484203,-0.6046335597721371,0.5573145670971229,0.9621767906603409,-5.430552076444041
1,CHRM2,CCL25,ITGB1,C3,IL3,CHRNA6,CCL25,0.511755349028058,4.05412534749016,0.526423297960435,0.6087259439469189,0.96975310707861,-5.47092436232291
2,CHRM3,CCL19,ITGAM,CR1,IL4,CACNA1A,CCL19,-0.283455305651824,5.33409649214021,-0.33917436296695797,0.740670006991953,0.9800834114895891,-5.54581076201342
3,CHRM4,CCL21,ITGB2,ITGAM,IL5,CACNA1B,CCL21,-0.9104750075533129,4.55792163215086,-1.68334139675985,0.11957884102450501,0.886475243943484,-4.42681068721645
4,ADRA1D,CCL4,CALM1,RAB1B,IL10,GABRA2,CCL4,-0.0246003858803299,5.255175180767679,-0.0316786701014592,0.9752784381978871,0.9979523429902059,-5.59922228157278
5,ADRA2C,CCL17,CALML4,SAR1B,IL12B,GABRA5,CCL17,-0.7196933808598509,4.06298151846723,-0.8808913760467709,0.396643748775572,0.947721962662876,-5.24769060567266
6,ADRB1,CCL22,RHOA,VCP,IL13,GABRA6,CCL22,-0.889101016131865,2.97933595846915,-1.14377244922198,0.276264192995676,0.930600318766436,-5.020790169168951
7,ADRB2,CCL5,CFL1,APAF1,IL15,GABRB1,CCL5,0.337005549544672,5.589100818572629,0.60386712780945,0.5578065513522111,0.962310022390189,-5.4309730011001305
8,ADRB3,CCL8,CFL2,CYCS,IL17D,GABRB3,CCL8,-0.752151719740645,4.14877022872044,-0.829906791364254,0.42370071403885207,0.94922419816725,-5.28595976732098
9,DRD2,CCL16,CASP7,CASP3,IL20,GABRG1,CCL16,-1.4899236125097701,3.7749061401160597,-1.58301663952171,0.140861404767413,0.90463242173066,-4.5479764244190495
10,DRD4,CCL23,PYCARD,BNIP3,IL22,GABRG3,CCL23,-1.4646695449721,4.4544022625172,-1.638303853566,0.128753837041135,0.8947077098230649,-4.481717368044929
