,SYMBOL,logFC,ENSEMBL,ENTREZID
0,CCL1,-0.612790186,ENSG00000108702,6346
1,CCL25,0.511755349,ENSG00000131142,6370
2,CCL19,-0.283455306,ENSG00000172724,6363
3,CCL21,-0.9104750079999999,ENSG00000137077,6366
4,CCL4,-0.024600386000000002,ENSG00000275302,6351
5,CCL4,-0.024600386000000002,ENSG00000275824,6351
6,CCL4,-0.024600386000000002,ENSG00000277943,6351
7,CCL17,-0.7196933809999999,ENSG00000102970,6361
8,CCL22,-0.8891010159999999,ENSG00000102962,6367
9,CCL5,0.33700555,ENSG00000271503,6352
10,CCL5,0.33700555,ENSG00000274233,6352
11,CCL8,-0.75215172,ENSG00000108700,6355
12,CCL16,-1.4899236130000002,ENSG00000275152,6360
13,CCL16,-1.4899236130000002,ENSG00000275095,6360
14,CCL23,-1.464669545,ENSG00000274736,6368
15,CCL23,-1.464669545,ENSG00000276114,6368
16,CCL13,-2.220339433,ENSG00000181374,6357
17,CCL7,-1.7667464940000002,ENSG00000108688,6354
18,CCL2,-1.04931633,ENSG00000108691,6347
19,CCL11,-0.198562662,ENSG00000172156,6356
20,CCL24,1.4921727980000001,ENSG00000106178,6369
21,CCL26,-1.53789769,ENSG00000006606,10344
22,CCL27,-0.602660474,ENSG00000213927,10850
23,CCL28,2.394782431,ENSG00000151882,56477
24,CCL18,-1.626520025,ENSG00000275385,6362
25,CCL18,-1.626520025,ENSG00000278167,6362
26,CCL18,-1.626520025,ENSG00000278006,6362
27,CCL20,-0.619514169,ENSG00000115009,6364
28,CXCL1,-0.139841963,ENSG00000163739,2919
29,CXCL2,-0.26294064300000003,ENSG00000081041,2920
30,CXCL3,1.391344614,ENSG00000163734,2921
31,CXCL5,0.40602592299999996,ENSG00000163735,6374
32,CXCL6,1.194570006,ENSG00000124875,6372
33,CXCL8,-1.9029724469999998,ENSG00000169429,3576
34,PPBP,0.300351606,ENSG00000163736,5473
35,PF4,-0.983516222,ENSG00000163737,5196
36,PF4V1,2.169585548,ENSG00000109272,5197
37,CXCL9,0.585798558,ENSG00000138755,4283
38,CXCL10,0.7886102690000001,ENSG00000169245,3627
39,CXCL11,0.11859165,ENSG00000169248,6373
40,CXCL13,0.000212983,ENSG00000156234,10563
41,CXCL12,0.542261796,ENSG00000107562,6387
42,CXCL16,-0.47676090200000004,ENSG00000161921,58191
43,CXCL14,-1.275987932,ENSG00000145824,9547
44,CXCL17,1.157983248,ENSG00000189377,284340
45,XCL1,1.059168437,ENSG00000143184,6375
46,CX3CL1,-0.077958542,ENSG00000006210,6376
47,IL2,-2.638349494,ENSG00000109471,3558
48,IL4,-1.519292672,ENSG00000113520,3565
49,IL7,-0.39789831299999995,ENSG00000104432,3574
50,IL9,-1.006670835,ENSG00000145839,3578
51,IL15,-0.801327647,ENSG00000164136,3600
52,IL21,-1.146842027,ENSG00000138684,59067
53,TSLP,2.690610975,ENSG00000145777,85480
54,IL3,-0.08382653799999999,ENSG00000164399,3562
55,IL5,-0.566971473,ENSG00000113525,3567
56,CSF2,0.749020714,ENSG00000164400,1437
57,IL13,0.813992675,ENSG00000169194,3596
58,EPO,2.011260697,ENSG00000130427,2056
59,GH1,-1.113727482,ENSG00000259384,2688
60,GH2,-2.0441582680000003,ENSG00000136487,2689
61,CSH1,0.36803319799999995,ENSG00000136488,1442
62,PRL,1.536442755,ENSG00000172179,5617
63,THPO,-0.607317439,ENSG00000090534,7066
64,CSF3,0.110495099,ENSG00000108342,1440
65,LEP,2.301319869,ENSG00000174697,3952
66,IL6,-1.077480236,ENSG00000136244,3569
67,IL11,0.08634621199999999,ENSG00000095752,3589
68,IL12A,-2.624426847,ENSG00000168811,3592
69,IL12B,-2.280770745,ENSG00000113302,3593
70,IL23A,-0.119055989,ENSG00000110944,51561
71,IL27,-0.8828675159999999,ENSG00000197272,246778
72,CLCF1,-0.557443305,ENSG00000175505,23529
73,CNTF,0.17537410399999998,ENSG00000242689,1270
74,CTF1,-0.719871155,ENSG00000150281,1489
75,LIF,-0.21300627600000002,ENSG00000128342,3976
76,OSM,-2.228473783,ENSG00000099985,5008
77,IL10,-1.4160457069999999,ENSG00000136634,3586
78,IL19,-0.734692667,ENSG00000142224,29949
79,IL20,0.714238822,ENSG00000162891,50604
80,IL24,-0.841555843,ENSG00000162892,11009
81,IL22,0.017717239,ENSG00000127318,50616
82,IL26,-2.185831394,ENSG00000111536,55801
83,IFNL2,0.117254481,ENSG00000183709,282616
84,IFNL1,0.412512228,ENSG00000182393,282618
85,IFNA1,-0.7594694359999999,ENSG00000197919,3439
86,IFNA2,-1.249457412,ENSG00000188379,3440
87,IFNA4,0.31535272,ENSG00000236637,3441
88,IFNA5,-0.9668203320000001,ENSG00000147873,3442
89,IFNA7,-1.4929744569999999,ENSG00000214042,3444
90,IFNA8,0.24419313399999998,ENSG00000120242,3445
91,IFNA10,-0.546570152,ENSG00000186803,3446
92,IFNA14,-0.226307657,ENSG00000228083,3448
93,IFNA16,0.418143891,ENSG00000147885,3449
94,IFNA17,-1.124282075,ENSG00000234829,3451
95,IFNA21,-0.524725924,ENSG00000137080,3452
96,IFNB1,-3.562827346,ENSG00000171855,3456
97,IFNW1,1.2804874640000001,ENSG00000177047,3467
98,IFNK,-1.161763479,ENSG00000147896,56832
99,IFNE,0.038780342999999995,ENSG00000184995,338376
100,IFNG,0.224097997,ENSG00000111537,3458
101,IL1A,1.37186921,ENSG00000115008,3552
102,IL1B,-0.20624243899999997,ENSG00000125538,3553
103,IL1RN,0.43387707200000003,ENSG00000136689,3557
104,IL36RN,0.10565211099999999,ENSG00000136695,26525
105,IL36A,-0.239928611,ENSG00000136694,27179
106,IL36B,0.598679173,ENSG00000136696,27177
107,IL36G,0.700917855,ENSG00000136688,56300
108,IL1F10,-0.727993675,ENSG00000136697,84639
109,IL37,-1.5857437909999998,ENSG00000125571,27178
110,IL18,-0.183314322,ENSG00000150782,3606
111,IL33,-0.550422055,ENSG00000137033,90865
112,IL17A,0.43988377799999995,ENSG00000112115,3605
113,IL17F,-1.480141495,ENSG00000112116,112744
114,IL17B,-0.225469544,ENSG00000127743,27190
115,IL17C,-1.444801676,ENSG00000124391,27189
116,IL17D,0.66250668,ENSG00000172458,53342
117,IL25,-0.889703283,ENSG00000166090,64806
118,IL16,0.009229758000000001,ENSG00000172349,3603
119,IL32,-0.954936351,ENSG00000008517,9235
120,IL34,-2.158120301,ENSG00000157368,146433
121,CSF1,0.744744495,ENSG00000184371,1435
122,TNF,-1.900500326,ENSG00000232810,7124
123,TNF,-1.900500326,ENSG00000228978,7124
124,TNF,-1.900500326,ENSG00000204490,7124
125,TNF,-1.900500326,ENSG00000206439,7124
126,TNF,-1.900500326,ENSG00000228321,7124
127,TNF,-1.900500326,ENSG00000230108,7124
128,TNF,-1.900500326,ENSG00000223952,7124
129,TNF,-1.900500326,ENSG00000228849,7124
130,LTA,-1.905577756,ENSG00000226979,4049
131,LTA,-1.905577756,ENSG00000238130,4049
132,LTA,-1.905577756,ENSG00000173503,4049
133,LTA,-1.905577756,ENSG00000231408,4049
134,LTA,-1.905577756,ENSG00000230279,4049
135,LTA,-1.905577756,ENSG00000226275,4049
136,LTA,-1.905577756,ENSG00000223919,4049
137,LTB,0.664273249,ENSG00000227507,4050
138,LTB,0.664273249,ENSG00000231314,4050
139,LTB,0.664273249,ENSG00000204487,4050
140,LTB,0.664273249,ENSG00000206437,4050
141,LTB,0.664273249,ENSG00000223448,4050
142,LTB,0.664273249,ENSG00000238114,4050
143,LTB,0.664273249,ENSG00000236237,4050
144,LTB,0.664273249,ENSG00000236925,4050
145,TNFSF14,1.21130115,ENSG00000125735,8740
146,FASLG,-0.120666325,ENSG00000117560,356
147,TNFSF15,0.035325364,ENSG00000181634,9966
148,TNFSF10,0.72690441,ENSG00000121858,8743
149,EDA,-0.516879112,ENSG00000158813,1896
150,NGF,1.135696429,ENSG00000134259,4803
151,TNFSF11,-2.354366599,ENSG00000120659,8600
152,CD70,-0.483072334,ENSG00000125726,970
153,TNFSF8,0.45090681,ENSG00000106952,944
154,CD40LG,-0.1006841,ENSG00000102245,959
155,TNFSF9,-1.146275446,ENSG00000125657,8744
156,TNFSF4,-0.6845493690000001,ENSG00000117586,7292
157,TNFSF18,1.486332741,ENSG00000120337,8995
158,TNFSF13,0.342948256,ENSG00000161955,8741
159,TNFSF13B,1.3850543290000001,ENSG00000102524,10673
160,TGFB1,0.362045651,ENSG00000105329,7040
161,TGFB2,-0.151413559,ENSG00000092969,7042
162,TGFB3,-0.036159745,ENSG00000119699,7043
163,GDF15,-1.276898464,ENSG00000130513,9518
164,GDF2,-0.09388625,ENSG00000263761,2658
165,BMP10,-1.142537449,ENSG00000163217,27302
166,INHA,-0.018718675,ENSG00000123999,3623
167,BMP3,-0.556532655,ENSG00000152785,651
168,GDF10,-0.623859261,ENSG00000266524,2662
169,GDF11,-0.26911774,ENSG00000135414,10220
170,MSTN,-1.96897637,ENSG00000138379,2660
171,INHBA,0.637136709,ENSG00000122641,3624
172,INHBB,0.377382335,ENSG00000163083,3625
173,GDF3,-0.37917875700000003,ENSG00000184344,9573
174,NODAL,0.376565159,ENSG00000156574,4838
175,GDF9,-0.07317111,ENSG00000164404,2661
176,INHBC,0.0423852,ENSG00000175189,3626
177,INHBE,0.278066117,ENSG00000139269,83729
178,BMP2,1.230159231,ENSG00000125845,650
179,BMP4,0.134000435,ENSG00000125378,652
180,GDF5,0.8607949,ENSG00000125965,8200
181,BMP15,2.616521878,ENSG00000130385,9210
182,BMP5,0.793392078,ENSG00000112175,653
183,BMP6,0.980987565,ENSG00000153162,654
184,BMP7,-0.037166288,ENSG00000101144,655
185,BMP8B,1.8620190159999999,ENSG00000116985,656
186,BMP8A,-1.090068833,ENSG00000183682,353500
187,CCR8,0.330381556,ENSG00000179934,1237
188,CCR9,1.5142887669999998,ENSG00000173585,10803
189,ACKR4,0.8998703259999999,ENSG00000129048,51554
190,CCR7,-1.177567877,ENSG00000126353,1236
191,CCR4,-1.411232332,ENSG00000183813,1233
192,CCR5,0.499234581,ENSG00000160791,1234
193,CCR3,0.251083838,ENSG00000183625,1232
194,CCR2,2.0410669969999997,ENSG00000121807,729230
195,CCR1,-0.86120468,ENSG00000163823,1230
196,CCR10,0.713397191,ENSG00000184451,2826
197,CCR6,2.08539802,ENSG00000112486,1235
198,CXCR1,-1.657069818,ENSG00000163464,3577
199,CXCR2,0.020315997,ENSG00000180871,3579
200,CXCR3,-0.17892980600000002,ENSG00000186810,2833
201,CXCR5,-0.050492754,ENSG00000160683,643
202,CXCR4,-1.341115826,ENSG00000121966,7852
203,ACKR3,0.757761938,ENSG00000144476,57007
204,CXCR6,-0.219684687,ENSG00000172215,10663
205,XCR1,-0.8103482409999999,ENSG00000173578,2829
206,CX3CR1,-0.93124613,ENSG00000168329,1524
207,IL2RA,0.02347843,ENSG00000134460,3559
208,IL2RB,-0.7124118190000001,ENSG00000100385,3560
209,IL2RG,-0.928819304,ENSG00000147168,3561
210,IL4R,-0.822859131,ENSG00000077238,3566
211,IL7R,-0.8818391790000001,ENSG00000168685,3575
212,IL9R,-0.062554256,ENSG00000124334,3581
213,IL15RA,-0.41408231100000004,ENSG00000134470,3601
214,IL21R,-0.09684921199999999,ENSG00000103522,50615
215,CRLF2,0.462307035,ENSG00000205755,64109
216,IL3RA,-0.9747906209999999,ENSG00000185291,3563
217,CSF2RB,1.203002295,ENSG00000100368,1439
218,IL5RA,-1.637769575,ENSG00000091181,3568
219,CSF2RA,-0.39875452,ENSG00000198223,1438
220,IL13RA1,-1.0315619809999999,ENSG00000131724,3597
221,IL13RA2,0.692556718,ENSG00000123496,3598
222,EPOR,0.47505349,ENSG00000187266,2057
223,GHR,0.330120427,ENSG00000112964,2690
224,PRLR,0.128846829,ENSG00000113494,5618
225,MPL,0.86259108,ENSG00000117400,4352
226,CSF3R,-0.309650083,ENSG00000119535,1441
227,LEPR,-0.004836728,ENSG00000116678,3953
228,IL6R,1.639606458,ENSG00000160712,3570
229,IL6ST,0.06800927400000001,ENSG00000134352,3572
230,IL11RA,-0.95519688,ENSG00000137070,3590
231,IL12RB1,0.255949742,ENSG00000096996,3594
232,IL12RB2,2.208005955,ENSG00000081985,3595
233,IL23R,0.12988268,ENSG00000162594,149233
234,IL27RA,-0.193443222,ENSG00000104998,9466
235,IL31RA,-1.497283879,ENSG00000164509,133396
236,CNTFR,0.808035608,ENSG00000122756,1271
237,LIFR,0.525809275,ENSG00000113594,3977
238,OSMR,-0.648706193,ENSG00000145623,9180
239,IL10RA,0.071983571,ENSG00000110324,3587
240,IL10RB,0.51637871,ENSG00000243646,3588
241,IL20RA,-2.129093176,ENSG00000016402,53832
242,IL20RB,-1.220094394,ENSG00000174564,53833
243,IL22RA1,-0.059429025,ENSG00000142677,58985
244,IFNLR1,0.798761064,ENSG00000185436,163702
245,IFNAR1,0.129471015,ENSG00000142166,3454
246,IFNAR2,-0.517308909,ENSG00000159110,3455
247,IFNGR1,0.342514914,ENSG00000027697,3459
248,IFNGR2,0.097058141,ENSG00000159128,3460
249,IFNGR2,0.097058141,ENSG00000262795,3460
250,IL1R1,-0.15648262,ENSG00000115594,3554
251,IL1RAP,2.067915696,ENSG00000196083,3556
252,IL1R2,-0.519633018,ENSG00000115590,7850
253,IL1RL2,-0.850295117,ENSG00000115598,8808
254,IL18R1,-0.7631368820000001,ENSG00000115604,8809
255,IL18RAP,-0.276492654,ENSG00000115607,8807
256,IL1RL1,-2.115530261,ENSG00000115602,9173
257,IL17RA,-0.41057813,ENSG00000177663,23765
258,IL17RC,1.497195039,ENSG00000163702,84818
259,IL17RB,-0.255881636,ENSG00000056736,55540
260,IL17RE,0.012094124,ENSG00000163701,132014
261,CD4,0.25892136600000004,ENSG00000010610,920
262,CSF1R,0.37757616899999996,ENSG00000182578,1436
263,TNFRSF1A,-0.38639871299999995,ENSG00000067182,7132
264,TNFRSF1B,-0.379735626,ENSG00000028137,7133
265,LTBR,0.280623629,ENSG00000111321,4055
266,TNFRSF14,-0.56710472,ENSG00000157873,8764
267,TNFRSF14,-0.56710472,ENSG00000273936,8764
268,FAS,0.416858028,ENSG00000026103,355
269,TNFRSF25,0.614697523,ENSG00000215788,8718
270,TNFRSF10A,0.275321412,ENSG00000104689,8797
271,TNFRSF10B,0.491919389,ENSG00000120889,8795
272,TNFRSF10C,-0.557737354,ENSG00000173535,8794
273,TNFRSF10D,0.08472731900000001,ENSG00000173530,8793
274,TNFRSF21,-0.274194445,ENSG00000146072,27242
275,EDAR,-0.028541067000000003,ENSG00000135960,10913
276,EDA2R,-0.38253091899999997,ENSG00000131080,60401
277,NGFR,-0.520914662,ENSG00000064300,4804
278,TNFRSF11B,-0.505702346,ENSG00000164761,4982
279,TNFRSF11A,-0.088466516,ENSG00000141655,8792
280,TNFRSF12A,0.265326529,ENSG00000006327,51330
281,CD27,0.041659322,ENSG00000139193,939
282,TNFRSF8,-0.361513608,ENSG00000120949,943
283,CD40,-0.33704458200000004,ENSG00000101017,958
284,TNFRSF9,-0.9332901990000001,ENSG00000049249,3604
285,TNFRSF4,1.5181319659999999,ENSG00000186827,7293
286,TNFRSF18,1.195965027,ENSG00000186891,8784
287,TNFRSF17,1.004718681,ENSG00000048462,608
288,TNFRSF13B,1.205568489,ENSG00000240505,23495
289,TNFRSF13C,0.8458751090000001,ENSG00000159958,115650
290,TNFRSF19,1.272354548,ENSG00000127863,55504
291,RELT,-0.09077767199999999,ENSG00000054967,84957
292,TGFBR1,-0.285928263,ENSG00000106799,7046
293,TGFBR2,0.447927294,ENSG00000163513,7048
294,ACVRL1,0.024660578,ENSG00000139567,94
295,ACVR2A,-0.055045832,ENSG00000121989,92
296,BMPR2,-0.310728763,ENSG00000204217,659
297,ACVR2B,0.413100449,ENSG00000114739,93
298,ACVR1B,-0.42663378799999996,ENSG00000135503,91
299,ACVR1C,0.278469856,ENSG00000123612,130399
300,ACVR1,0.091411207,ENSG00000115170,90
301,AMHR2,-1.084286806,ENSG00000135409,269
302,BMPR1A,0.36106519200000003,ENSG00000107779,657
