SYMBOL,logFC
HSPD1,-0.040963977
C3,0.279422207
CR1,0.529687287
ITGAM,1.955139021
ITGB2,2.366378879
ARF1,-0.289152982
RAB1A,-0.286030394
RAB1B,-0.006746026
SEC22B,-0.785494631
SAR1A,-0.289779555
SAR1B,-0.993552304
VCP,0.08935045
APAF1,1.023080395
CYCS,-0.266264996
CASP9,0.817555266
CASP3,-0.958942866
CASP8,0.891233479
BNIP3,-0.239893634
BCL2L13,0.097682301
NFKB2,0.049103398
NFKBIA,-0.024031286
NFKB1,0.022724821
RELA,0.840837933
HBS1L,-0.775736183
EEF1A1,0.421260233
EEF1A2,0.355060497
HSF1,-2.043991394
HSPA2,-0.203957179
HSPA1L,-1.332641976
HSPA6,-0.49633807
NAIP,0.248818681
CASP7,0.834461221
NLRC4,-0.057826021
PYCARD,2.418637931
CASP1,0.144281288
IL18,-0.183314322
IL1B,-0.206242439
TLR5,-0.239220218
TLR2,-1.636306714
CD14,2.380795617
TLR4,-0.191859812
MYD88,0.958791816
TNF,-1.900500326
IL6,-1.077480236
IL12A,-2.624426847
IL12B,-2.280770745
CXCL8,-1.902972447
CXCL1,-0.139841963
CXCL2,-0.262940643
CXCL3,1.391344614
