SYMBOL,logFC
IFNG,0.224097997
IL1A,1.37186921
IL1B,-0.206242439
IL1RN,0.433877072
IL36RN,0.105652111
IL36A,-0.239928611
IL36B,0.598679173
IL36G,0.700917855
IL1F10,-0.727993675
IL37,-1.585743791
IL18,-0.183314322
IL33,-0.550422055
IL17A,0.439883778
IL17F,-1.480141495
IL17B,-0.225469544
IL17C,-1.444801676
IL17D,0.66250668
IL25,-0.889703283
IL16,0.009229758
IL32,-0.954936351
IL34,-2.158120301
CSF1,0.744744495
TNF,-1.900500326
LTA,-1.905577756
LTB,0.664273249
TNFSF14,1.21130115
FASLG,-0.120666325
TNFSF15,0.035325364
TNFSF10,0.72690441
EDA,-0.516879112
NGF,1.135696429
TNFSF11,-2.354366599
CD70,-0.483072334
TNFSF8,0.45090681
CD40LG,-0.1006841
TNFSF9,-1.146275446
TNFSF4,-0.684549369
TNFSF18,1.486332741
TNFSF13,0.342948256
TNFSF13B,1.385054329
TGFB1,0.362045651
TGFB2,-0.151413559
TGFB3,-0.036159745
GDF15,-1.276898464
GDF2,-0.09388625
BMP10,-1.142537449
INHA,-0.018718675
BMP3,-0.556532655
GDF10,-0.623859261
GDF11,-0.26911774
MSTN,-1.96897637
INHBA,0.637136709
INHBB,0.377382335
GDF3,-0.379178757
NODAL,0.376565159
GDF9,-0.07317111
INHBC,0.0423852
INHBE,0.278066117
BMP2,1.230159231
BMP4,0.134000435
GDF5,0.8607949
BMP15,2.616521878
BMP5,0.793392078
BMP6,0.980987565
BMP7,-0.037166288
BMP8B,1.862019016
BMP8A,-1.090068833
CCR8,0.330381556
CCR9,1.514288767
ACKR4,0.899870326
CCR7,-1.177567877
CCR4,-1.411232332
CCR5,0.499234581
CCR3,0.251083838
CCR2,2.041066997
CCR1,-0.86120468
CCR10,0.713397191
CCR6,2.08539802
CXCR1,-1.657069818
CXCR2,0.020315997
CXCR3,-0.178929806
CXCR5,-0.050492754
CXCR4,-1.341115826
ACKR3,0.757761938
CXCR6,-0.219684687
XCR1,-0.810348241
CX3CR1,-0.93124613
IL2RA,0.02347843
IL2RB,-0.712411819
IL2RG,-0.928819304
IL4R,-0.822859131
IL7R,-0.881839179
IL9R,-0.062554256
IL15RA,-0.414082311
IL21R,-0.096849212
CRLF2,0.462307035
IL3RA,-0.974790621
CSF2RB,1.203002295
IL5RA,-1.637769575
CSF2RA,-0.39875452
IL13RA1,-1.031561981
IL13RA2,0.692556718
EPOR,0.47505349
GHR,0.330120427
PRLR,0.128846829
MPL,0.86259108
CSF3R,-0.309650083
LEPR,-0.004836728
IL6R,1.639606458
IL6ST,0.068009274
IL11RA,-0.95519688
IL12RB1,0.255949742
IL12RB2,2.208005955
IL23R,0.12988268
IL27RA,-0.193443222
IL31RA,-1.497283879
CNTFR,0.808035608
LIFR,0.525809275
OSMR,-0.648706193
IL10RA,0.071983571
IL10RB,0.51637871
IL20RA,-2.129093176
IL20RB,-1.220094394
IL22RA1,-0.059429025
IFNLR1,0.798761064
IFNAR1,0.129471015
IFNAR2,-0.517308909
IFNGR1,0.342514914
IFNGR2,0.097058141
IL1R1,-0.15648262
IL1RAP,2.067915696
IL1R2,-0.519633018
IL1RL2,-0.850295117
IL18R1,-0.763136882
IL18RAP,-0.276492654
IL1RL1,-2.115530261
IL17RA,-0.41057813
IL17RC,1.497195039
IL17RB,-0.255881636
IL17RE,0.012094124
CD4,0.258921366
CSF1R,0.377576169
TNFRSF1A,-0.386398713
TNFRSF1B,-0.379735626
LTBR,0.280623629
TNFRSF14,-0.56710472
FAS,0.416858028
TNFRSF25,0.614697523
TNFRSF10A,0.275321412
TNFRSF10B,0.491919389
TNFRSF10C,-0.557737354
TNFRSF10D,0.084727319
TNFRSF21,-0.274194445
EDAR,-0.028541067
EDA2R,-0.382530919
NGFR,-0.520914662
TNFRSF11B,-0.505702346
TNFRSF11A,-0.088466516
TNFRSF12A,0.265326529
CD27,0.041659322
TNFRSF8,-0.361513608
CD40,-0.337044582
TNFRSF9,-0.933290199
TNFRSF4,1.518131966
TNFRSF18,1.195965027
TNFRSF17,1.004718681
TNFRSF13B,1.205568489
TNFRSF13C,0.845875109
TNFRSF19,1.272354548
RELT,-0.090777672
TGFBR1,-0.285928263
TGFBR2,0.447927294
ACVRL1,0.024660578
ACVR2A,-0.055045832
BMPR2,-0.310728763
ACVR2B,0.413100449
ACVR1B,-0.426633788
ACVR1C,0.278469856
ACVR1,0.091411207
AMHR2,-1.084286806
BMPR1A,0.361065192
